ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Efficiency (Energy Factor) (L/kWh),Water Removal Capacity (pints/day),Fan Continuously Operates?,Date Available on Market,Date Qualified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2282850,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDCK-45AEN1-BB0,",MDUK-45AEN1-BB0,",2,45,Yes,10/25/2016,10/28/2016,United States,ES_1138537_MDCK-45AEN1-BB0_11012016104418_7058924,No
2282825,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDCK-50AEN1-BB0(A),",MDUK-50AEN1-BB0(A),",2,50,Yes,10/25/2016,10/28/2016,United States,ES_1138537_MDCK-50AEN1-BB0(A)_11012016104503_7103719,No
2282826,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDCK-50AEN1-BB0B,",MDCK-50AEN1-BB0; MDUK-50AEN1-BB0,; ,MDUK-50AEN1-BB0B,",2,50,Yes,10/25/2016,10/28/2016,United States,ES_1138537_MDCK-50AEN1-BB0B_11012016104536_7136687,No
2282828,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDCK-60AEN1-BB0,",MDUK-60AEN1-BB0,",2,60,Yes,10/25/2016,10/28/2016,United States,ES_1138537_MDCK-60AEN1-BB0_11012016104613_7173529,No
2282830,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDCK-70AEN1-BB0B,",MDCK-70AEN1-BB0; MDUK-70AEN1-BB0,; ,MDUK-70AEN1-BB0B,",2,70,Yes,10/25/2016,10/28/2016,United States,ES_1138537_MDCK-70AEN1-BB0B_11012016104650_7210520,No
2301628,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDP30SR71-A,",MDP30SR71,",2,30,Yes,08/04/2017,08/04/2017,United States,ES_1138537_MDP30SR71-A_08072017104050_2450442,No
2301629,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDP50SR71-A,",MDP50SR71,",2,50,Yes,08/04/2017,08/04/2017,United States,ES_1138537_MDP50SR71-A_08072017104101_2461589,No
2301630,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Midea,Dehumidifier,MDP70SR71-A,",MDP70SR71,",2,70,Yes,08/04/2017,08/04/2017,United States,ES_1138537_MDP70SR71-A_08072017104117_2477116,No
2331431,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Toshiba,Dehumidifiers,TDDP3011ES2,,2,30,Yes,12/12/2018,12/13/2018,United States,ES_1138537_TDDP3011ES2_12142018061420_8060878,No
2331432,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD.",Toshiba,Dehumidifiers,TDDP3011ES2C,,2,30,Yes,12/12/2018,12/13/2018,Canada,ES_1138537_TDDP3011ES2C_12142018062548_8748651,No
