ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2263341,Avalon,A1-3.1CFDDBLK,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33,18.5,3.1,3.8,270,358,25,No,,,,03/20/2016,03/23/2016,United States,ES_1132323_A1-3.1CFDDBLK_03252016091442_7282050,No
2263342,Avalon,A1-3.1CFDDSS,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33,18.5,3.1,3.8,270,358,25,No,,,,03/20/2016,03/23/2016,United States,ES_1132323_A1-3.1CFDDSS_03252016091453_7293810,No
2309224,Avanti,AR17T1B,",AR17T0W,; ,AR17T3S,",Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20.1,17.7,1.7,1.7,238,275,13,No,,,,11/15/2017,01/16/2018,United States,ES_92257_AR17T1B_11232017092331_4355584,No
2216363,Avanti,AR2406W,",AR2416B,",Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,25,18.5,2.2,2.2,230,279,18,No,,,,07/21/2014,07/22/2014,United States,ES_92257_AR2406W_07212014164849_4965174,No
2303594,Avanti,AR24T3S,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,24.9,18.5,2.4,2.4,238,281,15,No,,,,09/01/2017,09/14/2017,United States,ES_92257_AR24T3S_09122017132724_1491662,No
2215460,Avanti,AR321BB,",AR323SB,",Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.7,3.2,3.2,259,289,10,No,,,,07/09/2014,08/27/2014,United States,ES_92257_AR321BB_07092014154345_4110223,No
2315136,Avanti,AR321BB,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.7,3.2,3.2,259,289,10,No,,,,01/22/2018,11/28/2017,"United States, Canada",ES_0092257_AR321BB_03012018110822_70170417,No
2215426,Avanti,AR4446B,"AR4456SS,,",Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,32.7,19.7,4.4,4.4,269,300,10,No,,,,07/09/2014,07/10/2014,United States,ES_92257_AR4446B_07092014155859_6016198,No
2315137,Avanti,AR4446B,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.1,19.5,4.4,4.4,269,300,10,No,,,,01/22/2018,11/28/2017,"United States, Canada",ES_0092257_AR4446B_03012018110822_70170417,No
2315138,Avanti,AR4456SS,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.1,19.5,4.4,4.4,269,300,10,No,,,,01/22/2018,11/28/2017,"United States, Canada",ES_0092257_AR4456SS_03012018110822_70170417,No
2263737,Avanti,AR52T3SB,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.7,23.4,5.2,5.2,258,307,16,No,,,,04/01/2016,04/06/2016,"United States, Canada",ES_0092257_AR52T3SB04032016015944_70072708,No
2315130,Avanti,FF116B0W,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.6,28.9,11.6,14,310,347,11,No,,,,01/20/2018,11/27/2017,"United States, Canada",ES_0092257_FF116B0W_03012018110927_70171466,Yes
2315131,Avanti,FF116B1B,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.6,28.9,11.6,14,310,347,11,No,,,,01/20/2018,11/27/2017,"United States, Canada",ES_0092257_FF116B1B_03012018110927_70171466,Yes
2315132,Avanti,FF116B3S,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.6,28.9,11.6,14,310,347,11,No,,,,01/20/2018,11/27/2017,"United States, Canada",ES_0092257_FF116B3S_03012018110927_70171466,Yes
2325261,Avanti,FF145H*,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.3,27.6,14.5,17.2,325,373,13,No,,,,08/31/2018,09/04/2018,"United States, Canada",ES_92257_FF145H*_09042018022304_7784034,Yes
2293986,Avanti,FF21D0W,",FF21D1B,; ,FF21D3S,",Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67,33,21,25.6,396,440,10,No,,,,04/10/2017,04/10/2017,"United States, Canada",ES_92257_FF21D0W_04112017062717_2037345,Yes
2215434,Avanti,FF45006W,,Compact,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,43.5,19.1,4.3,5.1,359,399,10,No,,,,06/25/2014,06/25/2014,"United States, Canada",ES_92257_FF45006W_06252014162621_991174,No
2315127,Avanti,FF7B0W,,Compact,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,55.8,23.4,7,8.4,393,438,10,No,,,,01/20/2018,01/04/2018,"United States, Canada",ES_0092257_FF7B0W_03012018110927_70171466,No
2315128,Avanti,FF7B1B,,Compact,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,55.8,23.4,7,8.4,393,438,10,No,,,,01/20/2018,01/04/2018,"United States, Canada",ES_0092257_FF7B1B_03012018110927_70171466,No
2315129,Avanti,FF7B3S,,Compact,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,55.8,23.4,7,8.4,393,438,10,No,,,,01/20/2018,01/04/2018,"United States, Canada",ES_0092257_FF7B3S_03012018110927_70171466,No
2231281,Avanti,FFBM102D0W,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,60,24,10.2,12.6,370,429,14,No,,,,01/20/2015,01/20/2015,"United States, Canada",ES_92257_FFBM102D0W_01212015055835_9915010,No
2231282,Avanti,FFBM102D2P,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,60,24,10.2,12.6,370,429,14,No,,,,01/20/2015,01/20/2015,"United States, Canada",ES_92257_FFBM102D2P_01212015055853_9933508,No
2242269,Avanti,FFBM102D3S,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,60,24,10.2,12.6,370,429,14,No,,,,06/20/2015,06/26/2015,"United States, Canada",ES_92257_FFBM102D3S_06262015090226_9346088,No
2214594,Avanti,FFBM45136SS,,Compact,15 - Compact Refrigerator-Freezer - automatic defrost with Bottom-Mounted freezer,Automatic,Yes,No,No,No,No,44.4,19.1,4.5,5.6,340,405,16,No,,,,07/07/2014,07/07/2014,United States,ES_92257_FFBM45136SS_07072014111550_6561512,No
2311093,Avanti,FFBM92H*,",FFBM92H0W, FFBM92H3S,",Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.8,23.8,9.2,11.3,374,417,10,No,,,,02/09/2018,02/05/2018,"United States, Canada",ES_0092257_FFBM92H*_02052018033310_70172689,No
2215468,Avanti,RA3106WT,"RA3116BT,,; RA3126PST,,; RA3136SST,,",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.9,3.1,3.7,320,358,11,No,,,,07/09/2014,07/10/2014,United States,ES_92257_RA3106WT_07092014155027_2381708,No
2294871,Avanti,RA31B0W,"RA31B1B, RA31B3S,RA31B1B, RA31B3S,",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.5,3.1,3.7,320,358,11,No,,,No,04/16/2017,04/09/2017,United States,ES_92257_RA31B0W_04252017183523_0000001,No
2315142,Avanti,RA31B0W,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.9,18.5,3.1,3.8,320,358,11,No,,,,01/22/2018,01/12/2018,"United States, Canada",ES_0092257_RA31B0W_03012018110822_70170417,No
2315143,Avanti,RA31B1B,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.9,18.5,3.1,3.8,320,358,11,No,,,,01/22/2018,01/12/2018,"United States, Canada",ES_0092257_RA31B1B_03012018110822_70170417,No
