ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Amplifier Channels,Video Player Type,Tuner Included,Connected Technology,Default Auto Power Down (APD) Timing (min.),Average Power Consumption 2 Minutes Before APD (Watts),Average Power Consumption 2 Minutes After APD (Watts),Energy Use (Idle) (Watts),Energy Use (Sleep Mode) (Watts),Energy Use (Video Playback) (Watts),Energy Use (Audio Playback) (Watts),Is Amplifier Consumer or Commercial?,Amplifier Input Power at 1/8 Maximum Undistorted Power (Watts),Amplifier Efficiency %,Total Idle State Allowance (W) ,Total Sleep Mode Allowance (W)  ,Date Available On Market,Date Certified,Markets,CB Model Identifier
2294441,"Funai Corporation, Inc.",Sanyo,Blu-ray Disc / DVD Player,FWBP706F C,,Blu-ray Disc Player,N/A,Blu-ray Disc,No,"802.11 WiFi,Ethernet",25,5.2,0.3,5.1,0.3,7,5.8,N/A,,,N/A,4,06/12/2017,04/06/2017,"United States, Canada",ES_45054.0_FWBP706F C_04182017043731_0251712
2294445,"Funai Corporation, Inc.",Sanyo,Blu-ray Disc / DVD Player,FWBP505F Q,,Blu-ray Disc Player,N/A,Blu-ray Disc,No,N/A,25,3.9,0.3,3.9,0.3,5.5,4.4,N/A,,,N/A,1,06/05/2017,04/06/2017,"United States, Canada",ES_45054.0_FWBP505F Q_04182017052741_3261419
2296580,"Funai Corporation, Inc.",Sanyo,Blu-ray Disc / DVD Player,FWBP507FF,,Blu-ray Disc Player,N/A,Blu-ray Disc,No,N/A,25,3.9,0.3,3.9,0.3,5.5,4.4,N/A,,,N/A,1,11/15/2017,05/25/2017,"United States, Canada",ES_45054.0_FWBP507FF_05252017005357_3637048
2186664,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,E Series,E 12:2,",E 4:2,; ,E 8:2,; ,E2:2,",Audio Amplifier - Full Spectrum,2.1,N/A,No,N/A,20,0.7,0,0.7,0,,,Commercial,36.5,67,N/A,1,01/01/2012,07/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_LAB.GRUPPEN AB (694821) | E 12:2_07312013013958_4798854
2195085,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,LUCIA120/2M,LUCIA120/2M,",LUCIA120/2,",Audio Amplifier - Full Spectrum,2,N/A,No,N/A,20,12.3,1,0,1.1,,,Commercial,39.9,50,N/A,1,06/01/2015,05/04/2015,"United States, Switzerland, Taiwan, Japan, Canada",ES_1082434_LUCIA120/2M_10252013021728_2666221
2195086,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,LUCIA240/2M,LUCIA240/2M,",LUCIA240/2,",Audio Amplifier - Full Spectrum,2,N/A,No,N/A,20,12.5,1.1,0,1.6,,,Commercial,54.3,56,N/A,1,06/01/2015,05/04/2015,"United States, Switzerland, Taiwan, Japan, Canada",ES_1082434_LUCIA240/2M_10252013021729_2666221
2241236,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,Lucia 120/1-70,Lucia 120/1-70,,Audio Amplifier - Full Spectrum,1,N/A,No,USB,20,13.7,1.7,0,1.7,,,Commercial,52.1,59,N/A,2,06/01/2015,05/04/2015,"United States, Switzerland, Taiwan, Japan, Canada",ES_1082434_Lucia 120/1-70_06082015061811_70027769
2241237,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,Lucia 240/1-70,Lucia 240/1-70,,Audio Amplifier - Full Spectrum,1,N/A,No,USB,20,13.8,1.7,0,1.7,,,Commercial,52.8,59,N/A,2,06/01/2015,05/04/2015,"United States, Switzerland, Taiwan, Japan, Canada",ES_1082434_Lucia 240/1-70_06082015061811_70027769
2282140,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,E SERIES 5:4,E SERIES 5:4,,Audio Amplifier - Full Spectrum,4,N/A,No,N/A,20,29.4,0.7,0,0.7,,,Commercial,68.9,45,N/A,1,10/27/2016,10/04/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_1082434_E SERIES 5:4_10242016024052_70077110
2282141,MUSIC Tribe Manufacturing PH Ltd.,LAB.GRUPPEN,E SERIES 10:4,E SERIES 10:4,,Audio Amplifier - Full Spectrum,4,N/A,No,N/A,20,31.5,0.8,0,0.8,,,Commercial,110.9,56,N/A,1,10/27/2016,10/04/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_1082434_E SERIES 10:4_10242016024052_70077110
