ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Fuel Type,Efficiency (AFUE),Date Available On Market,Date Certified,Markets,CB Model Identifier,Can Integrate Hot Water Heating,Meets ENERGY STAR Most Efficient 2019 Criteria
2323673,Bradford White Corporation,Bradford White,Brute LX,"BLXCW175(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,08/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXCW175(N,P)****_08012018004649_6149596",Yes,Yes
2323674,Bradford White Corporation,Bradford White,Brute LX,"BLXHW050(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,09/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW050(N,P)****_08012018004651_2671013",No,Yes
2323675,Bradford White Corporation,Bradford White,Brute LX,"BLXHW075(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,08/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW075(N,P)****_08012018004654_5604379",No,Yes
2323676,Bradford White Corporation,Bradford White,Brute LX,"BLXHW100(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,09/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW100(N,P)****_08012018004656_1810152",No,Yes
2323677,Bradford White Corporation,Bradford White,Brute LX,"BLXHW125(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,08/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW125(N,P)****_08012018004658_4743518",No,Yes
2323678,Bradford White Corporation,Bradford White,Brute LX,"BLXHW150(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,09/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW150(N,P)****_08012018004701_5060728",No,Yes
2323679,Bradford White Corporation,Bradford White,Brute LX,"BLXHW175(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,08/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW175(N,P)****_08012018004703_8550502",No,Yes
2323680,Bradford White Corporation,Bradford White,Brute LX,"BLXHW220(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,09/01/2014,07/31/2018,"United States, Canada","ES_92896_BLXHW220(N,P)****_08012018004705_8452225",No,Yes
2326392,Bradford White Corporation,Bradford White,Brute FT,"BMFTCF199(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,09/26/2018,"United States, Canada","ES_92896_BMFTCF199(N,P)****_09262018192640_6813663",Yes,Yes
2323670,Bradford White Corporation,Bradford White,Brute FT,"BMFTC(F,W)140(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,07/31/2018,"United States, Canada","ES_92896_BMFTC(F,W)140(N,P)****_08012018003638_6561629",Yes,Yes
2326390,Bradford White Corporation,Bradford White,Brute FT,"BMFTCW199(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,09/26/2018,"United States, Canada","ES_92896_BMFTCW199(N,P)****_09262018192646_6443952",No,Yes
2326393,Bradford White Corporation,Bradford White,Brute FT,"BMFTHW080(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,09/26/2018,"United States, Canada","ES_92896_BMFTHW080(N,P)****_09262018192650_9693746",No,Yes
2326394,Bradford White Corporation,Bradford White,Brute FT,"BMFTHW100(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,09/26/2018,"United States, Canada","ES_92896_BMFTHW100(N,P)****_09262018192653_4089375",No,Yes
2323671,Bradford White Corporation,Bradford White,Brute FT,"BMFTHW140(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,07/31/2018,"United States, Canada","ES_92896_BMFTHW140(N,P)****_08012018003640_2767401",No,Yes
2326391,Bradford White Corporation,Bradford White,Brute FT,"BMFTHW199(N,P)****",,Boiler,"Natural Gas,Propane Gas",95,06/01/2015,09/26/2018,"United States, Canada","ES_92896_BMFTHW199(N,P)****_09262018192655_3609415",Yes,Yes
2323317,Bradford White Corporation,Bradford White,Brute Elite,BNTH080,,Boiler,"Natural Gas,Propane Gas",95,08/05/2008,07/27/2018,"United States, Canada",ES_92896_BNTH080_07272018183526_8238217,No,Yes
2323318,Bradford White Corporation,Bradford White,Brute Elite,BNTH105,,Boiler,"Natural Gas,Propane Gas",95,08/05/2008,07/27/2018,"United States, Canada",ES_92896_BNTH105_07272018183534_0344525,No,Yes
2323319,Bradford White Corporation,Bradford White,Brute Elite,BNTH150,,Boiler,"Natural Gas,Propane Gas",95,08/05/2008,07/27/2018,"United States, Canada",ES_92896_BNTH150_07272018183536_1849432,No,Yes
2323320,Bradford White Corporation,Bradford White,Brute Elite,BNTH210,,Boiler,"Natural Gas,Propane Gas",95,08/05/2008,07/27/2018,"United States, Canada",ES_92896_BNTH210_07272018183538_2515306,No,Yes
2323321,Bradford White Corporation,Bradford White,Brute Elite,BNTH285,,Boiler,"Natural Gas,Propane Gas",95,08/05/2008,07/27/2018,"United States, Canada",ES_92896_BNTH285_07272018183541_4053233,No,Yes
2313237,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0083,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0083_03232018155159_0280046,Yes,No
2313272,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0083,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0083_03232018155307_2359954,Yes,No
2313233,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0103,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0103_03232018155151_2909741,Yes,No
2313268,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0103,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0103_03232018155259_7288042,Yes,No
2313232,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0153,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0153_03232018155149_0859617,Yes,No
2313267,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0153,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0153_03232018155257_6273504,Yes,No
2313218,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0203,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0203_03232018155121_3153956,Yes,No
2313250,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0203,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0203_03232018155229_1122246,Yes,No
2313227,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0213,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0213_03232018155139_7469454,Yes,No
2313259,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0213,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0213_03232018155247_7678799,Yes,No
2313220,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0253,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0253_03232018155125_0045084,Yes,No
2313252,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0253,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0253_03232018155233_2246251,Yes,No
2313231,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0263,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0263_03232018155147_1317748,Yes,No
2313266,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0263,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0263_03232018155255_1355271,Yes,No
2313229,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0293,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0293_03232018155143_0489907,Yes,No
2313264,Camus Hydronics Ltd.,CAMUS HYDRONICS LTD.,DynaMax,DMNC-0293,,Boiler,Natural Gas,90,09/01/2007,03/23/2018,"United States, Canada",ES_1092003_DMNC-0293_03232018155251_8279417,Yes,No
