ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Indoor/Outdoor,Product Type,Blade Span (Diameter) (in.),Ceiling Fan Efficiency (CFM/W),Fan Power Consumption-Low Speed (W),Fan Power Consumption-High Speed (W),Fan Power Consumption-Standby (W),Ceiling Fan Features,Ceiling Fan Components Warranty (Years),Shipped with ENERGY STAR Lamp(s),ENERGY STAR Lamp ESUID,Alternate ENERGY STAR Lamps ESUIDs,ENERGY STAR Lamp Partner,Lamp Model Number,Light Source Technology,Total Light Output (lumens),Total Lighting Input Power (Watts),Lighting Efficiency – Measured outside the Fixture (lm/W),Lighting Efficiency – Measured at the Source (lm/W),Power Factor of Light Kit,Light Color Appearance (CCT),Light Color Quality (CRI),Light Source Rated Life (Hours),Light Sources Per Light Kit,Light Source Connection/Base Type,Light Kit Dimmability,"Special Lighting Features (Dimming, Motion Sensing, etc.)",Ceiling Fan Light Kit Warranty (yrs),Connected Functionality,Connects Using,Notes,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2320988,Big Ass Fans,Haiku,Haiku,B3213-X4-AB-04-02-D-01,"B3213-X4-AB-04-02-D-01-F421
B3213-X4-AB-04-02-D-01-F523,B3213-X4-AB-04-02-D-01-F531
B3213-X4-AO-04-02-D-01-F471
B3213-X4-AS-04-02-D-01-F470
B3213-X4-AW-04-02-D-01
B3213-X4-AW-04-02-D-01-F421
B3213-X4-AW-04-02-D-01-F523
B3213-X4-AW-04-02-D-01-F531
B3213-X4-A*-04-02-D-01-F,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,84,353.0,,53.7,2,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_B3213-X4-AB-04-02-D-01_0605201804094370185411,Yes
2320989,Big Ass Fans,Haiku,Haiku,B3213-X4-BC-04-02-D-01,",B3213-X4-BCO-04-02-D-01
B3213-X4-BCS-04-02-D-01
B3213-X4-BCW-04-02-D-01
B3213-X4-BW-04-02-D-01
B3213-X4-BWO-04-02-D-01
B3213-X4-BWS-04-02-D-01
B3213-X4-BWW-04-02-D-01
B3213-X4-B*-04-02-D-01,SenseME",Indoor Ceiling Fan,Standard Fan Only,84,368.0,3.8,39.2,2,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_B3213-X4-BC-04-02-D-01_0605201804094370185412,Yes
2320990,Big Ass Fans,Haiku,Haiku,S3127-A2-AB-04-02-C-01-F258,"S3127-A2-AB-04-02-C-01-F421
S3127-A2-AB-04-02-C-01-F523
S3127-A2-AB-04-02-C-01-F531,S3127-A2-AO-04-02-C-01-F471
S3127-A2-AS-04-02-C-01-F470
S3127-A2-AW-04-02-C-01-F259
S3127-A2-AW-04-02-C-01-F421
S3127-A2-AW-04-02-C-01-F523
S3127-A2-AW-04-02-C-01-F531
S3127-A2-A*-04-02-C-01-F,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,52,305.0,,20.7,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3127-A2-AB-04-02-C-01-F258_0605201804094370185413,Yes
2320991,Big Ass Fans,Haiku,Haiku,S3127-A2-BC-04-02-C-01,",S3127-A2-BCO-04-02-C-01
S3127-A2-BCS-04-02-C-01
S3127-A2-BCW-04-02-C-01
S3127-A2-BW-04-02-C-01
S3127-A2-BWO-04-02-C-01
S3127-A2-BWS-04-02-C-01
S3127-A2-BWW-04-02-C-01
S3127-A2-B*-04-02-C-01,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,52,236.0,,26.6,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3127-A2-BC-04-02-C-01_0605201804094370185414,Yes
2320992,Big Ass Fans,Haiku,Haiku,S3127-S0-AB-04-02-C-01-F258,"S3127-S0-AB-04-02-C-01-F421
S3127-S0-AB-04-02-C-01-F523,S3127-S0-AB-04-02-C-01-F531
S3127-S0-AO-04-02-C-01-F471
S3127-S0-AS-04-02-C-01-F470
S3127-S0-AW-04-02-C-01-F259
S3127-S0-AW-04-02-C-01-F421
S3127-S0-AW-04-02-C-01-F523
S3127-S0-AW-04-02-C-01-F531
S3127-S0-A*-04-02-C-01-F,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,52,338.0,,15.6,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3127-S0-AB-04-02-C-01-F258_0605201804094370185415,Yes
2320993,Big Ass Fans,Haiku,Haiku,S3127-S0-BW-04-02-C-01,",S3150-S0-BC-04-02-C-01
S3150-S0-BCO-04-02-C-01
S3150-S0-BCS-04-02-C-01
S3150-S0-BCW-04-02-C-01
S3150-S0-BWO-04-02-C-01
S3150-S0-BWS-04-02-C-01
S3150-S0-BWW-04-02-C-01
S3150-S0-B*-04-02-C-01,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,52,286.0,,19.2,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3127-S0-BW-04-02-C-01_0605201804094370185416,Yes
2320994,Big Ass Fans,Haiku,Haiku,S3127-X2-AB-04-02-C-01-F258,"S3127-X2-AB-04-02-C-01-F421
S3127-X2-AB-04-02-C-01-F523
S3127-X2-AB-04-02-C-01-F531,S3127-X2-AO-04-02-C-01-F471
S3127-X2-AS-04-02-C-01-F470
S3127-X2-AW-04-02-C-01-F259
S3127-X2-AW-04-02-C-01-F421
S3127-X2-AW-04-02-C-01-F523
S3127-X2-AW-04-02-C-01-F531
S3127-X2-A*-04-02-C-01-F,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,52,305.0,,20.7,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3127-X2-AB-04-02-C-01-F258_0605201804094370185417,Yes
2320995,Big Ass Fans,Haiku,Haiku,S3127-X2-BW-04-02-C-01,",S3127-X2-BC-04-02-C-01
S3127-X2-BCO-04-02-C-01
S3127-X2-BCS-04-02-C-01
S3127-X2-BCW-04-02-C-01
S3127-X2-BWO-04-02-C-01
S3127-X2-BWS-04-02-C-01
S3127-X2-BWW-04-02-C-01
S3127-X2-B*-04-02-C-01,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,52,236.0,,26.6,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3127-X2-BW-04-02-C-01_0605201804094370185418,Yes
2320996,Big Ass Fans,Haiku,Haiku,S3150-A2-AB-04-02-C-01-F258,"S3150-A2-AB-04-02-C-01-F421
S3150-A2-AB-04-02-C-01-F523,S3150-A2-AB-04-02-C-01-F531
S3150-A2-AO-04-02-C-01-F471
S3150-A2-AS-04-02-C-01-F470
S3150-A2-AW-04-02-C-01-F259
S3150-A2-AW-04-02-C-01-F421
S3150-A2-AW-04-02-C-01-F523
S3150-A2-AW-04-02-C-01-F531
S3150-A2-A*-04-02-C-01-F,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,60,307.0,,26.8,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3150-A2-AB-04-02-C-01-F258_0605201804094370185419,Yes
2320997,Big Ass Fans,Haiku,Haiku,S3150-A2-BC-04-02-C-01,",S3150-A2-BCO-04-02-C-01
S3150-A2-BCS-04-02-C-01
S3150-A2-BCW-04-02-C-01
S3150-A2-BW-04-02-C-01
S3150-A2-BWO-04-02-C-01
S3150-A2-BWS-04-02-C-01
S3150-A2-BWW-04-02-C-01
S3150-A2-B*-04-02-C-01,SenseME",Indoor Ceiling Fan,Low-Mount HSSD Fan Only,60,338.0,,21.4,1.3,Occupancy sensor,3,No,,,,,,,,,,,,,,,,Yes,,,No,,,08/14/2014,06/05/2018,"United States, Canada",ES_1113298_S3150-A2-BC-04-02-C-01_0605201804094370185410,Yes
