ENERGY STAR Unique ID,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Heat Pump Technology,Voltage (V),Drum Capacity (cu-ft),Height (inches),Width (inches),Depth (inches),Combined Energy Factor (CEF),Estimated Annual Energy Use (kWh/yr),Estimated Energy Test Cycle Time (min),Energy Test Cycle Information,Additional Dryer Features,Vented or Ventless,Connected,Connects Using,Communication Standard - Application Layer,Direct on-premises Open-standard Based Interconnection,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh),Paired ENERGY STAR Clothes Washer Available,Paired ENERGY STAR Clothes Washer ENERGY STAR Model Identifier,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2332281,GE,H43E_3_N,GFD14ES*N***,"GFD14ESSN0WW,GFD14ESSNWW,",084691841890,Electric,,240,4.3,33.25,23.44,25.25,3.45,246,63,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,01/09/2019,01/07/2019,United States,ES_1123206_GFD14ES*N***_01072019202927_2967476,No
2332282,GE,H43E_3_N,GFD14JS*N***,"GFD14ESSN0WW,GFD14JSINWW,",084691846147,Electric,,240,4.3,33.25,23.44,25.25,3.45,246,63,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,01/09/2019,01/07/2019,Canada,ES_1123206_GFD14JS*N***_01072019203018_3018378,No
2309267,GE,M70E_1_M,GFD40ESCM***,"M70E_1_M,GFD40ESCMWW,",084691827467,Electric,,,7,39.38,27,32.19,3.93,608,61,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF EXTRA LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,01/22/2018,01/17/2018,United States,ES_1123206_GFD40ESCM***_01172018132051_5251699,No
2307923,GE,GFD40ESM****,GFD40ESM****,"GFD40ESM****,GFD40ESMM0WW,",757638973694,Electric,,,7,39.38,27,32.19,3.93,608,60,"COTTONS CYCLE, TEMPERATURE SETTING EXTRA LOW, DRYNESS SETTING OF DRY, EDRY.",Time remaining display,Vented,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD40ESM****_12152017151458_0898758,No
2309268,GE,M70G_4_M,GFD40GSCM***,"M70G_4_M,GFD40GSCMWW,",084691827474,Gas,,,7,39.38,27,32.19,3.48,687,67,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF EXTRA LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,01/22/2018,01/17/2018,United States,ES_1123206_GFD40GSCM***_01172018132644_5604366,No
2307926,GE,GFD40GSM****,GFD40GSM****,"GFD40GSM****,GFD40GSMM0WW,",757638973700,Gas,,,7,39.38,27,32.19,3.48,687,65,"COTTONS CYCLE, TEMPERATURE SETTING EXTRA LOW, DRYNESS SETTING OF DRY, EDRY.",Time remaining display,Vented,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD40GSM****_12152017151730_1050704,No
2307916,GE,GFD45ESM****,GFD45ESM****,",GFD45ESMM0DG,; ,GFD45ESMM0WW,",757638973717,Electric,,,7.5,39.38,27,33,3.93,608,58,"COTTONS CYCLE, TEMPERATURE SETTING LOW, DRYNESS SETTING OF DRY.",Time remaining display,Vented,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD45ESM****_12152017151342_0822632,No
2309319,GE,M75E_1_M,GFD45ESSM***,"M75E_1_M,GFD43ESSM***,; M75E_1_M,GFD43ESSMWW,; M75E_1_M,GFD45ESPM***,; M75E_1_M,GFD45ESPMDG,; M75E_1_M,GFD45ESSMWW,",084691826613,Electric,,,7.5,39.38,27,33,3.93,608,59,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,01/22/2018,01/18/2018,United States,ES_1123206_GFD45ESSM***_01182018155444_0884434,No
2307925,GE,GFD45GSM****,GFD45GSM***,"GFD45GSM****,GFD45GSMM0WW,; GFD45GSM***,GFD45GSMM0DG,",757638973724,Gas,,,7.5,39.38,27,33,3.48,687,64,"COTTONS CYCLE, TEMPERATURE SETTING LOW, DRYNESS SETTING OF DRY.",Time remaining display,Vented,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD45GSM***_12152017151611_0971172,No
2309320,GE,M75G_4_M,GFD45GSSM***,"M75G_4_M,GFD43GSSM***,; M75G_4_M,GFD43GSSMWW,; M75G_4_M,GFD45GSPM***,; M75G_4_M,GFD45GSPMDG,; M75G_4_M,GFD45GSSMWW,",084691826620,Gas,,,7.5,39.38,27,33,3.48,687,64,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,01/22/2018,01/18/2018,United States,ES_1123206_GFD45GSSM***_01182018161112_1872929,No
