ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2310389,Kenmore,2713*41*,,883049334707,Top Load,Other,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,03/23/2015,02/08/2018,"United States, Canada",ES_15649_2713*41*_02092018170338_5818057,No
2310394,Kenmore,2813*41*,,883049334714,Top Load,Other,Residential,5.3,2.06,1.29,195,4.3,8.4,6698,No,,,,No,,02/23/2015,02/08/2018,"United States, Canada",ES_15649_2813*41*_02092018170446_5886893,No
2310402,Kenmore,2913*41*,,883049334738,Top Load,Other,Residential,5.3,2.06,1.29,195,4.3,8.4,6698,No,,,,No,,02/23/2015,02/08/2018,"United States, Canada",ES_15649_2913*41*_02092018170416_5856072,No
2308536,Kenmore,3143#,,1,Top Load,"Anti-Wrinkle,Steam Cycle,Delayed Start,Sanitize Option",Residential,5,2.38,1.29,150,3.7,8.4,5479,No,,,,No,,11/02/2017,12/18/2017,"United States, Canada",ES_1118034_3143#_12192017024232_70163137,No
2310478,Kenmore,3155#,,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.38,1.29,130,3.7,8.4,5643,No,,,,No,,06/24/2016,02/08/2018,"United States, Canada",ES_15649_3155#_02092018060252_70172585,No
2310411,Kenmore,3163*61*,,883049375939,Top Load,"Other,Delayed Start,Steam Cycle",Residential,6.2,2.06,1.29,271,4.3,8.4,7827,No,,,,Yes,"ES_15649_6163261*_04282016163247_1167684, ES_15649_7163261*_04282016172629_4389962",04/04/2016,02/08/2018,"United States, Canada",ES_15649_3163*61*_02092018170522_5922392,No
2310482,Kenmore,4107#,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.92,1.84,120,3.2,4.7,4880,No,,,,No,,05/02/2016,02/08/2018,"United States, Canada",ES_15649_4107#_02092018060252_70172585,No
2310500,Kenmore,4126#,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,07/29/2016,02/09/2018,"United States, Canada",ES_15649_4126#_02092018060252_70172585,Yes
2310487,Kenmore,4130#,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,No,,,,No,,07/22/2016,02/08/2018,"United States, Canada",ES_15649_4130#_02092018060252_70172585,No
2310483,Kenmore,4139#,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4239,No,,,,No,,07/28/2016,02/08/2018,"United States, Canada",ES_15649_4139#_02092018060252_70172585,No
2310489,Kenmore,4158#,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,No,,,,No,,03/01/2015,02/09/2018,"United States, Canada",ES_15649_4158#_02092018060252_70172585,No
2310486,Kenmore,4168#,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,No,,,,No,,07/22/2016,02/08/2018,"United States, Canada",ES_15649_4168#_02092018060252_70172585,No
2310167,Kenmore,417.4194*71*,,012505387197,Front Load,None,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,No,,,,No,,01/19/2018,02/24/2014,"United States, Canada",ES_15649_417.4194*71*_02072018120848_70172556,No
2306857,Kenmore,4178#,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.76,1.84,160,3.2,4.7,4201,No,,,,No,,12/21/2017,11/27/2017,"United States, Canada",ES_1118034_4178#4_11282017034959_70164576,No
2310506,Kenmore,4196#,,1,Front Load,None,Residential,5.2,2.92,1.84,100,3.2,4.7,4880,No,,,,No,,06/04/2016,02/09/2018,"United States, Canada",ES_15649_4196#_02092018060252_70172585,No
2310505,Kenmore,4198#,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.76,1.84,170,3.2,4.7,4890,No,,,,No,,01/02/2017,02/09/2018,"United States, Canada",ES_15649_4198#_02092018060252_70172585,No
2310466,Kenmore,592-2922*,,887276012063,Top Load,Other,Residential,4.3,2.09,1.29,132,4,8.4,5050,No,,,,No,,04/22/2015,04/22/2015,Canada,ES_15649_592-2922*_02092018060252_70172127,No
2310467,Kenmore,592-2933*,,887276970455,Top Load,Other,Residential,4.8,2.11,1.29,176,4.1,8.4,5757,No,,,,No,,04/22/2015,04/22/2015,Canada,ES_15649_592-2933*_02092018060252_70172127,No
2310468,Kenmore,592-4961*,,887276142586,Front Load,Other,Residential,4.2,2.8,1.84,85,3.2,4.7,3927,No,,,,No,,01/23/2016,01/11/2016,"United States, Canada",ES_15649_592-4961*_02092018060252_70172127,No
2310469,Kenmore,592-4968*,,887276142647,Front Load,Other,Residential,4.5,2.8,1.84,110,3,4.7,3956,No,,,,No,,01/23/2016,01/11/2016,"United States, Canada",ES_15649_592-4968*_02092018060252_70172127,No
