ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Full Load Input Rate (kBtu/hr),Thermal Efficiency (%),Turndown Ratio,Control Type,Application,Date Available on Market,Date Qualified,Markets,CB Model Identifier
2318284,"Cleaver-Brooks, Inc.",CLEARFIRE,ClearFire-CE,CFCE-700-2000-HW,,2000,95,5,Multi-stage,Indoor,12/21/2016 12:00:00 AM,04/10/2018 12:00:00 AM,"United States, Canada",ES_1139488_CFCE-700-2000-HW_04102018180021_9333610
2318285,"Cleaver-Brooks, Inc.",CLEARFIRE,ClearFire-CE,CFCE-700-750-HW,,750,95,5,Multi-stage,Indoor,04/04/2017 12:00:00 AM,04/10/2018 12:00:00 AM,"United States, Canada",ES_1139488_CFCE-700-750-HW_04102018180026_3433075
2318286,"Cleaver-Brooks, Inc.",CLEARFIRE,ClearFire-CE,CFCE-700-1500-HW,,1500,95,5,Multi-stage,Indoor,04/04/2017 12:00:00 AM,04/10/2018 12:00:00 AM,"United States, Canada",ES_1139488_CFCE-700-1500-HW_04102018180029_0499709
2318287,"Cleaver-Brooks, Inc.",CLEARFIRE,ClearFire-CE,CFCE-700-500-HW,,500,95,5,Multi-stage,Indoor,02/03/2018 12:00:00 AM,04/10/2018 12:00:00 AM,"United States, Canada",ES_1139488_CFCE-700-500-HW_04102018180031_8263670
2327861,"Cleaver-Brooks, Inc.",CLEARFIRE,ClearFire-CE,CFCE-700-1000-HW,,1000,96,5,Multi-stage,Indoor,12/21/2016 12:00:00 AM,11/05/2018 12:00:00 AM,"United States, Canada",ES_1139488_CFCE-700-1000-HW_10122018191945_0534460
2328081,HTP Comfort Solutions LLC,HTP,Elite Fire Tube,EFT-399,,399,97,5,Multi-stage,Indoor,07/12/2012 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_EFT-399_10182018214518_3845066
2328082,HTP Comfort Solutions LLC,Westinghouse,Fire Tube Boiler,WBCNG399W,,399,97,5,Multi-stage,Indoor,07/12/2012 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCNG399W_10182018214521_9669154
2328083,HTP Comfort Solutions LLC,Westinghouse,Fire Tube Boiler,WBCNG399WPU,,399,97,5,Multi-stage,Indoor,07/12/2012 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCNG399WPU_10182018214524_0476733
2328084,HTP Comfort Solutions LLC,Westinghouse,Fire Tube Boiler,WBCLP399W,,399,97,5,Multi-stage,Indoor,07/12/2012 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCLP399W_10182018214527_5536670
2328085,HTP Comfort Solutions LLC,Westinghouse,Fire Tube Boiler,WBCLP399WPU,,399,97,5,Multi-stage,Indoor,07/12/2012 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCLP399WPU_10182018214530_4741065
2328086,HTP Comfort Solutions LLC,HTP,Elite Fire Tube,EFT-399LP,,399,97,5,Multi-stage,Indoor,07/12/2012 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_EFT-399LP_10182018214532_5897308
2328087,HTP Comfort Solutions LLC,HTP,Elite Premier,EP-301N,,301,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_EP-301N_10182018214934_0555840
2328088,HTP Comfort Solutions LLC,HTP,Elite Premier,EP-301LP,,301,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_EP-301LP_10182018214937_5823520
2328089,HTP Comfort Solutions LLC,HTP,Elite Premier,EP-399N,,399,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_EP-399N_10182018214939_5343560
2328090,HTP Comfort Solutions LLC,HTP,Elite Premier,EP-399LP,,399,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_EP-399LP_10182018214942_9182780
2328091,HTP Comfort Solutions LLC,Westinghouse,Premier,WBCENG301,,301,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCENG301_10182018214945_3022002
2328092,HTP Comfort Solutions LLC,Westinghouse,Premier,WBCELP301,,301,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCELP301_10182018214948_0590194
2328093,HTP Comfort Solutions LLC,Westinghouse,Premier,WBCENG399,,399,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCENG399_10182018214951_6381262
2328094,HTP Comfort Solutions LLC,Westinghouse,Premier,WBCELP399,,399,96,10,Multi-stage,Indoor,09/25/2015 12:00:00 AM,10/18/2018 12:00:00 AM,"United States, Canada",ES_29975_WBCELP399_10182018214954_4680586
2326613,"King Heating Products, Inc.",King Heating Products Inc.,Ecoking Ultimate Boiler,EK 399-CHB,,396.2,94,5,Multi-stage,Indoor,05/01/2018 12:00:00 AM,06/15/2018 12:00:00 AM,Canada,ES_1125479_EK 399-CHB_06152018154418_7458089
2326614,"King Heating Products, Inc.",King Heating Products Inc.,Ecoking Ultimate Boiler,EK 499-CHB,,494,94,5,Multi-stage,Indoor,05/01/2018 12:00:00 AM,06/15/2018 12:00:00 AM,Canada,ES_1125479_EK 499-CHB_06152018154341_7421090
2318306,"Lochinvar, LLC",Lochinvar,Crest,FBN0751,,750,96,15,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBN0751_04102018180227_4517527
2318307,"Lochinvar, LLC",Lochinvar,Crest,FBN1001,,1000,96,20,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBN1001_04102018180229_7996110
2318308,"Lochinvar, LLC",Lochinvar,Crest,FBN1251,,1250,96,19,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBN1251_04102018180231_2346746
2318309,"Lochinvar, LLC",Lochinvar,Crest,FBL0751,,750,96,15,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBL0751_04102018180234_4189127
2318310,"Lochinvar, LLC",Lochinvar,Crest,FBL1001,,1000,96,20,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBL1001_04102018180236_2684220
2318311,"Lochinvar, LLC",Lochinvar,Crest,FBL1251,,1250,96,19,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBL1251_04102018180239_3446805
2318312,"Lochinvar, LLC",Lochinvar,Crest,FBN1501,,1500,96,25,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBN1501_04102018180242_8245164
2318313,"Lochinvar, LLC",Lochinvar,Crest,FBL1501,,1500,96,25,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBL1501_04102018180244_5627442
2318314,"Lochinvar, LLC",Lochinvar,Crest,FBN1751,,1750,96,25,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBN1751_04102018180247_6771711
2318315,"Lochinvar, LLC",Lochinvar,Crest,FBL1751,,1750,96,25,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBL1751_04102018180250_7043928
2318316,"Lochinvar, LLC",Lochinvar,Crest,FBN2001,,2000,96,28,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBN2001_04102018180252_9650459
2318317,"Lochinvar, LLC",Lochinvar,Crest,FBL2001,,2000,96,28,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBL2001_04102018180255_0413045
2318318,"Lochinvar, LLC",Lochinvar,Crest,FBD0751,,750,96,15,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBD0751_04102018180257_8351730
2318319,"Lochinvar, LLC",Lochinvar,Crest,FBD1001,,1000,96,20,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBD1001_04102018180259_9845446
2318320,"Lochinvar, LLC",Lochinvar,Crest,FBD1251,,1250,96,19,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBD1251_04102018180302_8132796
2318321,"Lochinvar, LLC",Lochinvar,Crest,FBD1501,,1500,96,25,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBD1501_04102018180304_3596247
2318322,"Lochinvar, LLC",Lochinvar,Crest,FBD1751,,1750,96,25,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBD1751_04102018180306_5438627
2318323,"Lochinvar, LLC",Lochinvar,Crest,FBD2001,,2000,96,28,Multi-stage,Indoor,10/06/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada",ES_1028919_FBD2001_04102018180309_4838792
2318324,"Lochinvar, LLC",Lochinvar,FTXL,"FTX400(N,L)",,399,98,9,Multi-stage,Indoor,07/08/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada","ES_1028919_FTX400(N,L)_04102018180359_8244983"
2318325,"Lochinvar, LLC",Lochinvar,FTXL,"FTX500(N,L)",,500,97,10,Multi-stage,Indoor,07/08/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada","ES_1028919_FTX500(N,L)_04102018180401_5627261"
2318326,"Lochinvar, LLC",Lochinvar,FTXL,"FTX600(N,L)",,600,97,7,Multi-stage,Indoor,07/08/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada","ES_1028919_FTX600(N,L)_04102018180404_5517794"
2318327,"Lochinvar, LLC",Lochinvar,FTXL,"FTX725(N,L)",,725,97,6,Multi-stage,Indoor,07/08/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada","ES_1028919_FTX725(N,L)_04102018180406_5790012"
2318328,"Lochinvar, LLC",Lochinvar,FTXL,"FTX850(N,L)",,850,97,6,Multi-stage,Indoor,07/08/2014 12:00:00 AM,11/26/2018 12:00:00 AM,"United States, Canada","ES_1028919_FTX850(N,L)_04102018180409_4285105"
2318331,"Lochinvar, LLC",Lochinvar,Sync,SBL1500,,1500,96,10,Multi-stage,Indoor,10/23/2008 12:00:00 AM,10/11/2018 12:00:00 AM,"United States, Canada",ES_1028919_SBL1500_04102018180455_2892937
2318332,"Lochinvar, LLC",Lochinvar,Sync,SBN1500,,1500,96,10,Multi-stage,Indoor,10/23/2008 12:00:00 AM,10/11/2018 12:00:00 AM,"United States, Canada",ES_1028919_SBN1500_04102018180458_2260082
2318333,"Lochinvar, LLC",Lochinvar,Sync,SBN1300,,1300,95,10,Multi-stage,Indoor,10/23/2008 12:00:00 AM,10/11/2018 12:00:00 AM,"United States, Canada",ES_1028919_SBN1300_04102018180500_0231788
2318334,"Lochinvar, LLC",Lochinvar,Sync,SBL1000,,999,94,10,Multi-stage,Indoor,10/23/2008 12:00:00 AM,10/11/2018 12:00:00 AM,"United States, Canada",ES_1028919_SBL1000_04102018180502_7057658
2318335,"Lochinvar, LLC",Lochinvar,Sync,SBL1300,,1300,95,10,Multi-stage,Indoor,10/23/2008 12:00:00 AM,10/11/2018 12:00:00 AM,"United States, Canada",ES_1028919_SBL1300_04102018180505_2172445
2318336,"Lochinvar, LLC",Lochinvar,Sync,SBN1000,,999,94,10,Multi-stage,Indoor,10/23/2008 12:00:00 AM,10/11/2018 12:00:00 AM,"United States, Canada",ES_1028919_SBN1000_04102018180507_8998315
2318337,"Lochinvar, LLC",Lochinvar,Knight XL,KBL501,,500,94,5,Multi-stage,Indoor,01/18/2008 12:00:00 AM,04/10/2018 12:00:00 AM,"United States, Canada",ES_1028919_KBL501_04102018181413_8001502
