ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Sanitation Method,Idle Energy Rate for Low Temp (kW),Idle Energy Rate for High Temp (kW),Water Use (gallons/rack),Water Use (gallons/hr),Water Use (gallons/sq. ft.),Date Available on Market,Date Certified,Markets,CB Model Identifier
2190070,American Dish Service,ADS,HT-25,HT-25,,Stationary Single Tank Door,Dual Sanitizing Machine,0.37,0.63,0.65,,,07/01/2013,08/21/2013,United States,ES_1027466_HT-25_09052013141755_1000044
2175128,American Dish Service,ADS,ADC-66,ADC-66,,Multiple Tank Rack Conveyor,Dual Sanitizing Machine,0.72,1.65,0.53,,,01/01/2013,03/07/2013,United States,ES_1027466_ADC-66_03122013170123_1000319
2175126,American Dish Service,ADS,AFC-ES,AFC-ES,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.93,,,01/01/2013,02/25/2013,United States,ES_1027466_AFC-ES_03122013170123_1000317
2175125,American Dish Service,ADS,AF-ES,AF-ES,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.93,,,01/01/2013,02/25/2013,United States,ES_1027466_AF-ES_03122013170123_1000316
2171015,American Dish Service,ADS,5AGES,5AGES,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.89,,,11/24/2010,02/28/2011,"United States, Canada",ES_1027466_5AGES_01312013094134_1000211
2175127,American Dish Service,ADS,ADC-44,ADC-44,,Multiple Tank Rack Conveyor,Dual Sanitizing Machine,0.72,1.65,0.53,,,01/01/2013,03/07/2013,United States,ES_1027466_ADC-44_03122013170123_1000318
2175567,Auto-Chlor System,Auto-Chlor,A5IW,A5IW,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.04,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_A5IW_03192013101720_1000369
2175568,Auto-Chlor System,Auto-Chlor,D2,D2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_D2_03192013101720_1000370
2175569,Auto-Chlor System,Auto-Chlor,D2CR,D2CR,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_D2CR_03192013101720_1000371
2175570,Auto-Chlor System,Auto-Chlor,D2CL,D2CL,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_D2CL_03192013101720_1000372
2175571,Auto-Chlor System,Auto-Chlor,D2V,D2V,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_D2V_03192013101720_1000373
2175572,Auto-Chlor System,Auto-Chlor,D2CRV,D2CRV,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_D2CRV_03192013101720_1000374
2175573,Auto-Chlor System,Auto-Chlor,D2CLV,D2CLV,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_D2CLV_03192013101720_1000375
2175624,Auto-Chlor System,Auto-Chlor,A4,A4,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.04,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_A4_03192013101720_1000364
2179197,Auto-Chlor System,Auto-Chlor,U34,U34,,Under Counter,Chemical Sanitizing (Low Temp) Machine,0.22,,1.04,,,03/19/2012,04/29/2013,"United States, Canada",ES_1027472_U34_04292013172043_1000480
2179198,Auto-Chlor System,Auto-Chlor,U34PT-10,U34PT-10,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.22,,1.04,,,03/19/2012,04/29/2013,"United States, Canada",ES_1027472_U34PT-10_04292013172043_1000481
2244525,Auto-Chlor System,Auto-Chlor,U34B,U34B,",ACB,",Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.14,,1.03,,,03/19/2012,11/02/2018,"United States, Canada",ES_1027472_U34B_07202015105140_1000131
