ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Installation,Fuel Type,Width (in.),Depth (in.),Shortening Capacity (lbs),Cooking Energy Efficiency (%),Energy Use (Idle Energy Rate) (Btu/hr),Energy Use (Idle Energy Rate) (Watts),Date Available on Market,Date Qualified,Markets,CB Model Identifier
2280413,Electrolux Professional,Electrolux,AFRG16,AFRG16,,Standard Vat,Floor,Gas,13,16,40,54,8930,,07/14/2015,07/13/2015,"United States, Canada",ES_1082677_AFRG16_07142015113615_8021814
2282166,Henny Penny Corporation,Henny Penny,EEE-14# Split,EEE-14#,,Split Vat,Floor,Electric,14,6,30,86,,760,09/30/2016,10/24/2016,"United States, Canada",ES_1021426_EEE-14#_10242016201937_0377237
2282167,Henny Penny Corporation,Henny Penny,EEE-14#,EEE-14#,,Standard Vat,Floor,Electric,12,6,30,85,,720,09/30/2016,10/24/2016,"United States, Canada",ES_1021426_EEE-14#_10242016201500_0100255
2282176,Henny Penny Corporation,Henny Penny,LVE-20# Split,LVE-20#,,Split Vat,Floor,Electric,14,10,30,85,,790,09/30/2016,10/24/2016,"United States, Canada",ES_1021426_LVE-20#_10242016211244_3564855
2282177,Henny Penny Corporation,Henny Penny,LVE-20#,LVE-20#,,Standard Vat,Floor,Electric,12,10,30,87,,730,09/30/2016,10/24/2016,"United States, Canada",ES_1021426_LVE-20#_10242016210949_3389052
2281826,Henny Penny Corporation,Henny Penny,OFG-32#,OFG-32#,,Standard Vat,Floor,Gas,13,14,62,52,7259,,08/05/2011,10/19/2016,"United States, Canada",ES_1021426_OFG-32#_10192016214055_3255556
2281823,Henny Penny Corporation,Henny Penny,OFE-32#,OFE-32#,,Standard Vat,Floor,Electric,14,11,62,85,,709,10/05/2016,10/19/2016,"United States, Canada",ES_1021426_OFE-32#_10192016213408_2848407
2281822,Henny Penny Corporation,Henny Penny,OFE-32# Split,OFE-32# Split,,Standard Vat,Floor,Electric,16,11,50,84,,706,10/05/2016,10/19/2016,"United States, Canada",ES_1021426_OFE-32# Split_10192016211828_1908984
2281814,Henny Penny Corporation,Henny Penny,LVG-20#,LVG-20#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,06/07/2012,10/19/2016,"United States, Canada",ES_1021426_LVG-20#_10192016211251_1571271
2281827,Henny Penny Corporation,Henny Penny,OGA-32#,OGA-32#,,Standard Vat,Floor,Gas,13,14,62,52,7259,,08/05/2011,10/19/2016,"United States, Canada",ES_1021426_OGA-32#_10192016214538_3538433
2281812,Henny Penny Corporation,Henny Penny,EEG-25#,EEG-25#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,04/01/2014,10/19/2016,"United States, Canada",ES_1021426_EEG-25#_10192016211147_1507958
2281811,Henny Penny Corporation,Henny Penny,EEG-24#,EEG-24#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,04/01/2014,10/19/2016,"United States, Canada",ES_1021426_EEG-24#_10192016211116_1476224
