ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Tested Configuration,Griddle Plate Type Description,Width (ft.),Depth (ft.),Cooking Surface (sq. ft.),Cooking Energy Efficiency (%),Production Capacity (lbs/hr),Energy Use (Normalized Idle Energy) (Btu/h/sq. ft.),Energy Use (Normalized Idle Energy) (Watts/sq. ft.),Top Platen Type,Date Available on Market,Date Qualified,Markets,CB Model Identifier
1728316,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,GGF*****36,"Accu-Steam,GGF*****48,",Single-Sided,Gas,Single-Sided,"Flat, stainless steel",3,2.4,7.1,0.47,51,2562,,,02/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | GGF*****36_06042012212709_5229868
2273007,"Accutemp Products, Inc.",AccuTemp,EGF*****24,EGF*****24,,Single-Sided,Electric,Single-Sided,"Flat, Stainless Steel",2,2.5,5,0.86,53,,274,,01/01/2016,07/21/2016,"United States, Canada",ES_1017242_EGF*****24_07222016174943_9783766
2273013,"Accutemp Products, Inc.",AccuTemp,EGF*****48,EGF*****48,,Single-Sided,Electric,Single-Sided,"Flat, Stainless Steel",4,2.5,10,0.86,99,,271,,01/01/2016,07/21/2016,"United States, Canada",ES_1017242_EGF*****48_07222016175741_0261881
2273012,"Accutemp Products, Inc.",AccuTemp,EGF*****36,EGF*****36,"EGF*****48,EGF*****48,",Single-Sided,Electric,Single-Sided,"Flat, Stainless Steel",3,2.5,7.5,0.86,74,,271,,01/01/2016,07/21/2016,"United States, Canada",ES_1017242_EGF*****36_07222016175503_0103249
1728317,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,PGF*****24,,Single-Sided,Gas,Single-Sided,"Flat, stainless steel",2,2.4,4.8,0.41,31,2534,,,03/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | PGF*****24_06042012212733_5253586
1728318,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,PGF*****36,"Accu-Steam,PGF*****48,",Single-Sided,Gas,Single-Sided,"Flat, stainless steel",3,2.4,7.1,0.47,51,2562,,,04/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | PGF*****36_06042012212748_5268775
1728315,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,GGF*****24,,Single-Sided,Gas,Single-Sided,"Flat, stainless steel",2,2.4,4.8,0.41,31,2534,,,01/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | GGF*****24_06042012212558_5158876
1855222,"Anetsberger, LLC",Anetsberger,TM24X72G,TM24X72G,,Single-Sided,Gas,Single-Sided,Steel,3,2,6,0.4,40,2491,,,01/01/2011,03/14/2011,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | TM24X72G_07312012033951_5991416
1855219,"Anetsberger, LLC",Anetsberger,TM24X48G,TM24X48G,,Single-Sided,Gas,Single-Sided,Steel,3,2,6,0.4,40,2491,,,01/01/2011,03/14/2011,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | TM24X48G_07312012033731_5851367
1855220,"Anetsberger, LLC",Anetsberger,TM24X57G,TM24X57G,,Single-Sided,Gas,Single-Sided,Steel,3,2,6,0.4,40,2491,,,01/01/2011,03/14/2011,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | TM24X57G_07312012033655_5815681
1855221,"Anetsberger, LLC",Anetsberger,TM24X60G,TM24X60G,,Single-Sided,Gas,Single-Sided,Steel,3,2,6,0.4,40,2491,,,01/01/2011,03/14/2011,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | TM24X60G_07312012033915_5955807
1725993,"Anetsberger, LLC",Anetsberger,TM24X36G,TM24X36G,,Single-Sided,Gas,Single-Sided,Steel,3,2,6,0.4,40,2491,,,01/01/2011,03/14/2011,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | TM24X36G_06042012175505_2505153
2248738,Electrolux Professional,Electrolux,ARG36FR,ARG36FR,",ARG48FR,",Single-Sided,Gas,Single-Sided,Multi-Surface,3,1.9,5.6,35.3,31,2525,,,09/22/2015,09/30/2015,"United States, Canada",ES_1082677_ARG36FR_09242015145833_3169061
1725101,Garland Group (A division of Welbilt),Garland,McDonald's 2P World Grill w/PRC,MWG2W,,Double-Sided,Gas,Double-Sided,Polished Steel,3,2,6,0.52,45,1180,0,Integrated,06/15/2007,03/31/2011,"United States, Canada",ES_1086332_MWG2W_05312012155008_1151344
2123225,MagiKitch'n Inc.,Magikitch'n,MKH60 (Chrome Top),MKH60 (Chrome Top),,Single-Sided,Gas,Single-Sided,Chrome Top/flat finish,3,2,6,45.1,45,1879,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH60 (Chrome Top)_11132012155606_2166782
