ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Door Type,Number of Doors,Internal Volume (cu. ft.),Energy Usage (Watts),Energy Use (Max Idle Energy Rate) (Watts),Date Available on Market,Date Qualified,Markets,CB Model Identifier
2175142,Carter Hoffmann LLC,"Carter Hoffmann, LCC",BB96ES,BB96ES,,Solid,1,28,174.1,310.2,02/01/2013,03/13/2013,"United States, Canada",ES_1021406_BB96ES_01302013194940_9787408
2251157,Carter Hoffmann LLC,Carter-Hoffmann,HTU12 N3,HTU12 N3,,Solid,1,22,167.2,298.5,09/21/2015,10/23/2015,"United States, Canada",ES_1021406_HTU12 N3_09222015115548_4857751
2167998,Cres Cor,Cres Cor,"H137 ""D"" Series 3/4 Size Cabinets",H137SUA9D,,Solid,1,16,234,285,06/08/2011,04/09/2014,"United States, Canada",ES_1017907_H137SUA9D01102013043316_9999999
2167996,Cres Cor,Cres Cor,"H137 ""D"" Series 1/2 Size Cabinets",H137SUA6DSD,,Solid,1,10,211,224,06/08/2011,05/02/2012,"United States, Canada",ES_1017907_H137SUA6DSD01102013040721_9999999
2167995,Cres Cor,Cres Cor,"H137 ""D"" Series Fullsize Cabinets",H138S1834D,,Solid,2,22,279.2,297,06/08/2011,04/09/2014,"United States, Canada",ES_1017907_H138S1834D01102013030347_9999999
2167994,Cres Cor,Cres Cor,"H137 ""D"" Series Fullsize Cabinets",H137SUA12DSD,,Solid,2,22,279.2,297,06/08/2011,04/09/2014,"United States, Canada",ES_1017907_H137SUA12SD01102013030347_9999999
1864526,Cres Cor,Cres Cor,"H137 ""D"" Series Fullsize Cabinets",H137SUA12D,,Solid,2,22,279.2,297,06/08/2011,04/09/2014,"United States, Canada",ES_1017907_H137SUA12D_7152012111302_166461-2501364
2167999,Cres Cor,Cres Cor,"H137 ""D"" Series 3/4 Size Cabinets",H137SUA9DSD,,Solid,1,16,234,285,06/08/2011,04/09/2014,"United States, Canada",ES_1017907_H137SUA9DSD01102013043316_9999999
2169849,Cres Cor,Cres Cor,H339 Stainless Steel Cabinets,H339SS12188C,,Solid,1,7,107,149.3,05/22/2004,01/22/2013,"United States, Canada",ES_1017907_H339SS12188C01232013013849_2593419
1864527,Cres Cor,Cres Cor,"H137 ""D"" Series 1/2 Size Cabinets",H137SUA6D,,Solid,1,10,211,224,06/08/2011,05/02/2012,"United States, Canada",ES_1017907_H137SUA6D_7152012111304_166461-2501364
2173839,Cres Cor,Cres Cor,"H137 ""D"" Series Fullsize Cabinets",H138WS1834D15A,,Solid,2,22,267,297,03/01/2013,02/20/2013,"United States, Canada",ES_1017907_H138WS1834D15A_02262013060721_2603223
