ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Equipment Type,Ice Type,Harvest Rate (lbs ice/day),Energy Use (kWh/100 lbs ice),Refrigerant Type,Potable Water Use (gal/100 lbs ice),Ice Hardness Factor,Connected Functionality,Connects Using,Comminucation Standard Application Layer ,Direct on-premises Open-standard Based Interconnection,Capabilities Summary,Condenser Unit Model Number (if applicable),Date Available on Market,Date Certified,Markets,CB Model Identifier
2312475,"Hoshizaki America, Inc.",Hoshizaki,KM-1900SAJ,KM-1900SAJ,,Ice Making Head,Batch,1675,3.9,,19,100,No,,,,,,10/11/2017,02/28/2019,"United States, Canada",ES_1003024_KM-1900SAJ_03082018034234_9320781
2312476,"Hoshizaki America, Inc.",Hoshizaki,KM-1900SRJ,KM-1900SRJ,,Remote Condensing Unit,Batch,1700,3.9,,19,100,No,,,,,URC-22F,10/11/2017,02/28/2019,"United States, Canada",ES_1003024_KM-1900SRJ_03082018034236_3879160
2312477,"Hoshizaki America, Inc.",Hoshizaki,KM-1900SRJ3,KM-1900SRJ3,,Remote Condensing Unit,Batch,1700,3.9,,19,100,No,,,,,URC-22F,10/11/2017,02/28/2019,"United States, Canada",ES_1003024_KM-1900SRJ3_03082018034238_1261438
2312478,"Hoshizaki America, Inc.",Hoshizaki,KM-1601SRJ,KM-1601SRJ,,Remote Condensing Unit,Batch,1600,3.96,,17.6,100,No,,,,,URC-22F,03/21/2017,02/27/2019,"United States, Canada",ES_1003024_KM-1601SRJ_03082018034428_0907575
2312479,"Hoshizaki America, Inc.",Hoshizaki,KM-1301SAJ3,KM-1301SAJ3,,Ice Making Head,Batch,1350,3.95,,15.6,100,No,,,,,,05/01/2017,02/28/2019,"United States, Canada",ES_1003024_KM-1301SAJ3_03082018034845_8373496
2312480,"Hoshizaki America, Inc.",Hoshizaki,KM-1301SRJ3,KM-1301SRJ3,,Remote Condensing Unit,Batch,1330,3.83,,14,100,No,,,,,URC-14F,05/01/2017,02/28/2019,"United States, Canada",ES_1003024_KM-1301SRJ3_03082018034847_9343825
2312481,"Hoshizaki America, Inc.",Hoshizaki,KM-901MRJ,KM-901MRJ,,Remote Condensing Unit,Batch,853,4.52,,16,100,No,,,,,URC-14F,10/17/2017,02/27/2019,"United States, Canada",ES_1003024_KM-901MRJ_03082018035004_2931695
2312482,"Hoshizaki America, Inc.",Hoshizaki,KM-901MRJ3,KM-901MRJ3,,Remote Condensing Unit,Batch,830,4.4,,15,100,No,,,,,URC-14F,10/10/2017,02/27/2019,"United States, Canada",ES_1003024_KM-901MRJ3_03082018035006_6933666
2312483,"Hoshizaki America, Inc.",Hoshizaki,KML-700MRJ,KML-700MRJ,,Remote Condensing Unit,Batch,643,4.7,,16,100,No,,,,,URC-9F,11/01/2016,02/27/2019,"United States, Canada",ES_1003024_KML-700MRJ_03082018035141_8915452
2312484,"Hoshizaki America, Inc.",Hoshizaki,DKM-500BAJ,DKM-500BAJ,,Self Contained Unit,Batch,534,5.56,,16.6,100,No,,,,,,06/02/2017,11/05/2018,"United States, Canada",ES_1003024_DKM-500BAJ_03082018035335_6390808
2312485,"Hoshizaki America, Inc.",Hoshizaki,IM-500SAA,IM-500SAA,,Ice Making Head,Batch,435,5.45,,19.8,100,No,,,,,,10/02/2012,11/05/2018,"United States, Canada",ES_1003024_IM-500SAA_03082018035425_6973099
2312486,"Hoshizaki America, Inc.",Hoshizaki,KM-515MAJ,KM-515MAJ,,Ice Making Head,Batch,450,5.3,,16,100,No,,,,,,10/02/2017,11/05/2018,"United States, Canada",ES_1003024_KM-515MAJ_03082018035427_6307225
2312487,"Hoshizaki America, Inc.",Hoshizaki,KM-340MAJ,KM-340MAJ,,Ice Making Head,Batch,315,5.65,,17.1,100,No,,,,,,10/02/2017,02/27/2019,"United States, Canada",ES_1003024_KM-340MAJ_03082018035730_5125340
2320605,"Hoshizaki America, Inc.",Hoshizaki,KML-700MAJ,KML-700MAJ,,Ice Making Head,Batch,572,5.16,,16,100,No,,,,,,11/01/2016,05/30/2018,"United States, Canada",ES_1003024_KML-700MAJ_05302018222237_1539816
