ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Oven Type,Size,Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Cooking Energy Efficiency (%),Electric Oven Convection Mode Cooking Energy Efficiency (%),Door Type,Additional Door Type(s),Method of Steam Generation,Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Electric Oven Steam Mode Idle Energy Rate (kW),Convection Mode Production Capacity (lbs/hr),Convection Mode Average Water Consumption Rate (gallons/hr),Gas Oven Steam Mode Cooking Energy Efficiency (%),Electric Oven Steam Mode Cooking Energy Efficiency (%),Steam Mode Production Capacity (lbs/hr),Steam Mode Average Water Consumption Rate (gallons/hr),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Date Available on Market,Date Certified,Markets,CB Model Identifier
2232976,"Alto-Shaam, Inc.",Alto-Shaam,CTP7-20E,CTP7-20E,,Combination,Full-size,Electric,19.2,,1.51,,,80,Glass,N/A,Boiler-less,14,,7,,,,1.18,139.9,0.8,,59,171.3,1.5,,,,01/01/2014,02/11/2015,"United States, Canada",ES_1017906_CTP7-20E_02112015164734_3254873
2287466,"Alto-Shaam, Inc.",Alto-Shaam,CTP20-20G,CTP20-20G,,Combination,Full-size,Gas,,266000,,10430,63,,Glass,N/A,Boiler-less,40,,,0.84,9723,1.4,,402.2,0.4,50,,324.6,9.1,,,,02/03/2014,12/30/2016,"United States, Canada",ES_1017906_CTP20-20G_12302016142007_7607471
2235037,"Alto-Shaam, Inc.",Alto-Shaam,CTP10-20G,CTP10-20G,,Combination,Full-size,Gas,,133000,,6964,61,,Glass,N/A,Boiler-less,20,,10,0.44,3298,0.7,,225.2,7.7,51,,261.3,6.6,,,,01/01/2014,03/23/2015,"United States, Canada",ES_1017906_CTP10-20G_03232015204056_3256220
2287467,"Alto-Shaam, Inc.",Alto-Shaam,CTP7-20G,CTP7-20G,,Combination,Full-size,Gas,,102000,,5950,59,,Glass,N/A,Boiler-less,14,,14,0.61,5456,0.29,,141.7,10.6,47,,249.8,12.2,,,,02/03/2014,12/30/2016,"United States, Canada",ES_1017906_CTP7-20G_12302016141928_7568140
2239756,"Alto-Shaam, Inc.",Alto-Shaam,CTC7-20G,CTC7-20G,,Combination,Full-size,Gas,,98000,,5517,60,,Glass,N/A,Boiler-less,16,,8,0.59,1654,0.64,,173.2,1.27,52,,161.1,0.93,,,,01/01/2014,05/19/2015,"United States, Canada",ES_1017906_CTC7-20G_05192015201136_6296016
2330206,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82G3T,FX82G3T,,Combination,Full-size,Gas,,92500,,6550,60,,Glass,N/A,Boiler-less,16,,16,0.44,7334,0.41,,144.5,2,54,,191.4,3.7,,,,11/20/2018,11/26/2018,United States,ES_1142603_FX82G3T_11262018192954_0594664
2330387,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX202G3,FX202G3,,Combination,Full-size,Gas,,190000,,11087,63,,Glass,N/A,Boiler-less,40,,20,0.37,13236,0.9,,369.3,2.5,59,,500.9,5.8,,,,11/20/2018,11/29/2018,United States,ES_1142603_FX202G3_11292018163645_9405064
2332636,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX202G3R,FX202G3R,,Combination,Full-size,Gas,,190000,,11087,63,,Glass,N/A,Boiler-less,40,,20,0.37,13236,0.9,,369.3,2.5,59,,500.9,5.8,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX202G3R_01172019143842_5922149
2332637,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82E3,FX82E3,",,Available in 208V, 240V and 480V; FX82E3CT,FX82E3CT,Available in 208V, 240V and 480V; FX82E3R,FX82E3R,Available in 208V, 240V and 480V; FX82E3T,FX82E3T,Available in 208V, 240V and 480V; FX82E3TR,FX82E3TR,Available in 208V, 240V and 480V",Combination,Full-size,Electric,19.7,,1.69,,,80,Glass,N/A,Boiler-less,16,,16,,,,2.57,148.8,1.2,,66,186.1,2.8,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX82E3_01172019145336_6816822
2330205,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82E3T,FX82E3T,",,Available in 208V, 240V and 480V; FX82E3,FX82E3,Available in 208V, 240V and 480V; FX82E3CT,FX82E3CT,Available in 208V, 240V and 480V; FX82E3R,FX82E3R,Available in 208V, 240V and 480V; FX82E3TR,FX82E3TR,Available in 208V, 240V and 480V",Combination,Full-size,Electric,19.7,,1.69,,,80,Glass,N/A,Boiler-less,16,,16,,,,2.57,148.8,1.2,,66,186.1,2.8,,,,11/20/2018,11/26/2018,United States,ES_1142603_FX82E3T_11262018183236_7156636
2332634,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82G3,FX82G3,"FX82G3R,FX82G3CT,; FX82G3R,FX82G3R,; FX82G3R,FX82G3TR,",Combination,Full-size,Gas,,92500,,6550,60,,Glass,N/A,Boiler-less,16,,16,0.44,7334,0.41,,144.5,2,54,,191.4,3.7,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX82G3_01172019132102_1262501
2332635,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX122G3,FX122G3,"FX122G3C,FX122G3C,; FX122G3CT,FX122G3CT,; FX122G3TR,FX122G3TR,",Combination,Full-size,Gas,,120000,,7693,63,,Glass,N/A,Boiler-less,24,,12,0.55,8696,0.52,,215.9,1.8,55,,222.9,2.6,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX122G3_01172019134617_2777516
2330447,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX122G3T,FX122G3T,,Combination,Full-size,Gas,,120000,,7693,63,,Glass,N/A,Boiler-less,24,,12,0.55,8696,0.52,,215.9,1.8,55,,222.9,2.6,,,,11/20/2018,11/30/2018,United States,ES_1142603_FX122G3T_11302018171903_8343008
