ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Method of Steam Generation,Pan Capacity,Primary Fuel Source,Cooking Energy Efficiency (%),Water Consumption (gallons/hr),Idle Energy Rate Gas (Btu/hr),Idle Energy Rate Electric (Watts),Date Available on Market,Date Qualified,Markets,CB Model Identifier
1907597,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62083E150,,Pressureless,Boilerless,6,Electric,62,1.5,,500,05/01/2009,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62083E150_08242012182214_2534959
1907600,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62301E070,,Pressureless,Boilerless,6,Electric,62,1.5,,500,01/01/2006,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62301E070_08242012182222_2542449
1907601,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62401D060,,Pressureless,Boilerless,6,Electric,69,1.5,,300,09/01/2003,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62401D060_08242012182224_2544833
1907602,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62401E060,,Pressureless,Boilerless,6,Electric,69,1.5,,300,01/01/2006,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62401E060_08242012182227_2547330
1907603,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62403D110,,Pressureless,Boilerless,6,Electric,62,1.5,,500,01/01/2008,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62403D110_08242012182230_2550266
1907604,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62403D130,,Pressureless,Boilerless,6,Electric,62,1.5,,500,05/01/2009,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62403D130_08242012182232_2552614
1907605,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62403E110,,Pressureless,Boilerless,6,Electric,62,1.5,,500,01/01/2008,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62403E110_08242012182235_2555051
1907606,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S62403E130,,Pressureless,Boilerless,6,Electric,62,1.5,,500,05/01/2009,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S62403E130_08242012182237_2557389
1907613,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S64403D120,,Pressureless,Boilerless,6,Electric,68,1.5,,420,05/01/2005,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S64403D120_08242012182255_2575378
1907614,"Accutemp Products, Inc.",AccuTemp,Steam 'N' Hold,S64403E120,,Pressureless,Boilerless,6,Electric,68,1.5,,420,01/01/2006,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | S64403E120_08242012182257_2577887
