ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2323940,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-300,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-300_08032018141240_9457038
2324079,"Lochinvar, LLC",Lochinvar,ARMOR X2,"AW(N,L)1000(PM)",,Gas Tankless,"Propane,Gas",Direct Vent,9,,,,6,,959.904,999.9,0.96,,,,,01/02/2012,12/12/2018,"United States, Canada","ES_1028919_AW(N,L)1000(PM)_08092018141806_1651652"
2324080,"Lochinvar, LLC",Lochinvar,ARMOR X2,"AW(N,L)1300(PM)",,Gas Tankless,"Propane,Gas",Direct Vent,10,,,,6,,1248,1300,0.96,,,,,01/02/2012,12/12/2018,"United States, Canada","ES_1028919_AW(N,L)1300(PM)_08092018141859_4980613"
2324081,"Lochinvar, LLC",Lochinvar,ARMOR,"AW(N,L)151(PM)",,Gas Tankless,"Propane,Gas",Direct Vent,1,,,,3,,144,150,0.96,,,,,10/24/2012,12/12/2018,"United States, Canada","ES_1028919_AW(N,L)151(PM)_08092018144116_4277545"
2324083,"Lochinvar, LLC",Lochinvar,ARMOR,"AW(N,L)286(PM)",,Gas Tankless,"Propane,Gas",Direct Vent,2,,,,4,,273.6,285,0.96,,,,,10/24/2012,12/12/2018,"United States, Canada","ES_1028919_AW(N,L)286(PM)_08092018145303_9865480"
2324084,"Lochinvar, LLC",Lochinvar,ARMOR,"AW(N,L)501(PM)",,Gas Tankless,"Propane,Gas",Direct Vent,3,,,,4,,480,500,0.96,,,,,10/24/2012,12/12/2018,"United States, Canada","ES_1028919_AW(N,L)501(PM)_08092018145452_8616160"
2324086,"Lochinvar, LLC",Lochinvar,ARMOR WALL MOUNT,"WA(N,L)125",,Gas Tankless,"Propane,Gas",Direct Vent,1,,,,3,,120,125,0.96,,,,,12/04/2012,12/12/2018,"United States, Canada","ES_1028919_WA(N,L)125_08092018145958_9346448"
2324168,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-200_08102018184651_8039263
2324169,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-200A_08102018184656_0743289
2324170,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-200_08102018184659_6522383
2324171,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-200A_08102018184701_6969323
2324172,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-200A_08102018184703_2399755
2324173,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-200_08102018184705_6401725
2324174,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-200A_08102018184708_6815646
2324175,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-200A_08102018184710_7262587
2324176,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-200_08102018184712_3565070
2324177,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-200A_08102018184715_3455603
2324178,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-200_08102018184717_3727820
2324179,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-200A_08102018184720_1666506
2324180,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-200_08102018184722_4065294
2324181,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-200A_08102018184725_8100284
2324182,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-200A_08102018184727_6562358
2324183,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-200_08102018184729_1992789
2324184,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-200A_08102018184731_1883322
2324185,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-200A_08102018184734_2645907
2324186,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-200_08102018184736_5044695
2324187,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-200A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-200A_08102018184738_7999890
2324188,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-300,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-300_08102018190323_2533798
2324189,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-300A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-300A_08102018190328_6689446
2324190,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-300,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-300_08102018190330_6798913
2324191,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-300A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-300A_08102018190333_7988175
2324192,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-300A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-300A_08102018190335_3986204
2324193,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-300,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-300_08102018190337_0158957
2324194,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-300A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-300A_08102018190339_1140476
2324195,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-300A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-300A_08102018190342_4281585
2324196,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-300,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-300_08102018190344_1882797
2324197,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-300A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-300A_08102018190347_1087192
2324198,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-200,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,194,200,0.97,1100,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-200_08102018191538_8626107
2324199,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-250,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-250_08102018191837_8858710
2324200,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-250A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-250A_08102018191839_4856739
2324201,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-250,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-250_08102018191842_4409799
2324202,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-250A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-250A_08102018191844_9187111
2324203,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-250A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-250A_08102018191846_7660375
2324204,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-250,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-250_08102018191849_6341383
2324205,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-250A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-250A_08102018191851_8402697
2324206,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-250A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-250A_08102018191854_8163499
2324207,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-250,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-250_08102018191856_7160151
2324208,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-250A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,240,250,0.96,1155,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SS-250A_08102018191858_7269618
2324209,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-300,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,288,300,0.96,1210,,,,03/20/2018,12/11/2018,"United States, Canada",ES_1045829_GHE100SU-300_08102018192101_8802888
2324210,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-400,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,379.905,399.9,0.95,1310,,,,03/21/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-400_08102018192457_2577394
2324211,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-400A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,379.905,399.9,0.95,1310,,,,03/21/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-400A_08102018192459_7670351
2324212,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SS-400A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,379.905,399.9,0.95,1310,,,,03/21/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-400A_08102018192502_0811461
2324213,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-400A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,379.905,399.9,0.95,1310,,,,03/21/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SU-400A_08102018192504_1792980
2324214,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-400A,,Gas Storage,"Propane,Gas",Power Direct Vent,100,61,73,23.9,3,,379.905,399.9,0.95,1310,,,,03/21/2018,08/10/2018,"United States, Canada",ES_1045829_GHE100SS-400A_08102018192507_6013885
