ENERGY STAR Unique ID,ENERGY STAR Partner,Service Brand Name,Service Model Name,Service Model Number,Additional Model Information,Thermostat Brand Owner,Thermostat Brand Name,Thermostat Model Name,Thermostat Model Number,Additional Thermostat Model Numbers,Family ID,Static Temperature Accuracy (±°F),Standby Power (W),Time to Enter Standby (s),Thermostat Heating and Cooling Control Features,Other Heating and Cooling Control Features,Thermostat Communication Method,Communication Method Other,Demand Response Summary,Demand Response Product Variations,Date Available on Market,Date Certified,Markets,ENERGY STAR Model Identifier
2308186,Honeywell International Inc.,Honeywell,Lyric T6 Pro Wi-Fi Programmable Thermostat,TH6220WF****,,Honeywell,Honeywell,Lyric,Lyric,,,0.81,0.34,40,"Time of Day Usage,Geofencing (User Device Based),External Temperature Detection,Additional Home Temperature Sensor",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,09/22/2016,12/21/2017,"United States, Canada",ES_1020554_TH6220WF****_12182017094512_9618951
2308189,Honeywell International Inc.,Honeywell,Lyric,Lyric,,Honeywell,Honeywell,T5 Wi-Fi Thermostat,RCHT8610WF****,RCHT8612WF****,FAM_1020554_12202017150651_5834270,0.87,0.36,49,"Time of Day Usage,Geofencing (User Device Based),External Temperature Detection",,Wi-Fi,,"
Honeywellâ€™s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywellâ€™s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a homeâ€™s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an eventâ€™s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,09/22/2016,12/21/2017,"United States, Canada",ES_1020554_RCHT8610WF****_12182017094839_1215478
2309069,Honeywell International Inc.,Honeywell,Lyric,Lyric,,Honeywell,Honeywell,Lyric Round 2nd Generation,TH8732WFH****,RCH9310WF****,,0.37,0.18,41,"Time of Day Usage,Geofencing (User Device Based),External Temperature Detection,Other","Humidity, dehumidity, or ventilation control",Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,05/02/2014,01/12/2018,"United States, Canada",ES_1020554_RCH9310WF****_01112018142645_1305505
2309845,Honeywell International Inc.,Honeywell,Lyric,Lyric,,Honeywell,Honeywell,Lyric Round 2nd Generation,TH8732WFH****,RCH9310WF****,,0.37,0.18,41,"Time of Day Usage,Geofencing (User Device Based),External Temperature Detection,Other","Humidity, dehumidity, or ventilation control",Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,05/02/2014,01/12/2018,"United States, Canada",ES_1020554_RCH9310WF****_01312018113842_1834528
2318827,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,Wi-Fi Smart Color Thermostat,RTH9580WF****,RET97******,FAM_1020554_03282018161405_3655163,0.39,0.93,46,"Time of Day Usage,External Temperature Detection,Humidity Sensing",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,08/21/2015,04/24/2018,"United States, Canada",ES_1020554_RTH9580WF****_03282018161405_1990167
2318828,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,Wi-Fi Smart Color Thermostat,RTH9580WF****,RET97******,FAM_1020554_03282018161405_3655163,0.39,0.93,46,"Time of Day Usage,External Temperature Detection,Humidity Sensing",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,08/21/2015,04/24/2018,"United States, Canada",ES_1020554_RET97******_03282018161405_6189997
2318829,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,Wi-Fi Smart Color Thermostat,RTH9585WF****,,FAM_1020554_03282018161405_3655163,0.36,0.93,42,"Time of Day Usage,External Temperature Detection,Humidity Sensing",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,08/21/2015,04/24/2018,"United States, Canada",ES_1020554_RTH9585WF****_03282018161709_1065484
2318830,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,RedLINK Vision PRO 8000,TH8110R****,,FAM_1020554_03282018161405_3655163,0.12,0.14,48,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Additional Occupancy Sensor",,Other,RedLINK,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,02/28/2013,04/24/2018,"United States, Canada",ES_1020554_TH8110R****_03282018161953_9202844
2318831,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,RedLINK Vision PRO 8000,TH8320R****,,FAM_1020554_03282018161405_3655163,0.1,0.14,46,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Additional Occupancy Sensor",,Other,RedLINK,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,02/28/2013,04/24/2018,"United States, Canada",ES_1020554_TH8320R****_03282018162156_6575128
2318832,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,RedLINK Vision PRO 8000,TH8321R***,,FAM_1020554_03282018161405_3655163,0.25,0.13,48,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Other,Additional Occupancy Sensor"," Humidity, dehumidify, or ventilation control",Other,RedLINK,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,02/28/2013,04/24/2018,"United States, Canada",ES_1020554_TH8321R***_03282018162431_6027643
