ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Display Type,Panel Technology,Backlight Technology,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2019 Criteria
2333169,Acer Incorporated,Acer,"""1.) V206HQL Bb_q, V206HQL Bbd_q, V206HQL Bbm_q, V206HQL Bbmd_q, V206HQL BRbf_q, V206HQL BTbf_q; 2.) K202HQL Ab_q, K202HQL Abd_q, K202HQL Abm_q, K202HQL Bb_q; 3.) F206HQL CRb_q, F206HQL CTb_q; 4.) P209HQL Bb_q; 5.) VA200HQ b_q""",1.) V206HQL; 2.) K202HQL; 3.) F206HQL; 4.) P209HQL; 5.) VA200HQ,,Monitor,TN LCD,LED,768  x 1366,1,19.4,158.62,None,None,None,"DVI,Other",Ac power supply,10.53,,0.29,,0.13,,,,39.2,200,EPD I (32.9% CIE LUV/99% sRGB area or greater),600,,,12/15/2015,04/11/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V206HQL_02072019085935_3332045,No
2293843,Acer Incorporated,Acer,B196HQL_v,B196HQL,,Monitor,TN LCD,LED,1366 x 768,1,18.5,146.35,None,None,None,"DVI,VGA",Ac power supply,9.9,,0.16,,0.12,,,31.26,35,250,None,1000,,,04/14/2017,04/08/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B196HQL_04062017120505_7530328,No
2257791,Acer Incorporated,Acer,B196L_q,B196L,,Monitor,TN LCD,LED,1280 x 1024,1.3,19,175.61,None,None,None,"DVI,VGA",Ac power supply,11.73,,0.33,,0.15,,,37.86,44.4,250,EPD I (32.9% CIE LUV/99% sRGB area or greater),1000,,,03/01/2016,02/03/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B196L_02032016131638_7752567,No
2274751,Acer Incorporated,Acer,B196L A_q,B196L,,Monitor,IPS LCD,LED,1280 x 1024,1.3,19,175.61,None,None,None,"DVI,VGA",Ac power supply,13.17,,0.34,,0.15,,,42.29,44.41,250,None,500,,,01/01/2016,08/12/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B196L_08122016125032_7898152,No
2333023,Acer Incorporated,Acer,B196L A_q,B196L,,Monitor,IPS LCD,LED,1280  x 1024,1.3,18.9,174.17,None,None,None,"DisplayPort 1.2,DVI,Other",Ac power supply,11.1,,0.99,,0.08,,,39.65,44.1,250,None,1000,,,10/15/2016,10/20/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B196L_12212018152456I43_7349927,No
2263483,Acer Incorporated,Acer,B206WQL_r,B206WQL,"V206WQL_r,V206WQL,",Monitor,IPS LCD,LED,1440 x 900,1.3,19.4,170.22,"User Adjustable Backlight,Built-In Speakers",Built-In Speakers,None,"XGA,DVI,VGA,Other,SVGA",Ac power supply,9.95,,0.24,,0.16,,,31.9,43.2,300,None,1000,,,04/01/2015,03/30/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B206WQL_03312016093420_6860031,Yes
2268322,Acer Incorporated,Acer,B226HQL_v,B226HQL,,Monitor,TN LCD,LED,1920 x 1080,2.1,21.5,198.08,None,None,None,"DVI,VGA",Ac power supply,16.1,,0.16,,0.11,,,50.28,50.6,220,None,1000,,,01/01/2017,05/27/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226HQL_05192016163155_9200708,No
2273788,Acer Incorporated,Acer,B226HQL_q,B226HQL,,Monitor,TN LCD,LED,1920  x 1080,2.1,21.5,198.08,None,None,None,"HDMI 1.4,DVI,VGA",Ac power supply,14.42,,0.97,,0.11,,,49.71,50.6,200,None,500,180,180,01/01/2016,06/21/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226HQL_07222016131936_1417789,No
2331763,Acer Incorporated,Acer,B226HQL ymdprz_q,B226HQL,,Monitor,TN LCD,LED,1080  x 1920,2.1,21.5,198.08,None,None,None,"DisplayPort 1.2,DVI,Other,USB 3.0",Ac power supply,13.83,,0.97,,0.19,,,,50.6,200,None,500,,,01/01/2016,09/06/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226HQL_12172018112714_5180972,No
2306481,Acer Incorporated,Acer,B227Q_v,B227Q,"V227Q_v,V227Q,",Monitor,IPS LCD,LED,,2.1,21.5,197.6,Built-In Speakers,Built-In Speakers,None,"HDMI 1.4,DisplayPort 1.2,VGA,USB 3.0",Ac power supply,12.83,,0.25,,0.14,,,40.76,50.6,250,None,1000,,,11/17/2017,11/14/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B227Q_11082017101418_8357812,No
