ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Max Nameplate Output Current (A),Input Voltage (V),Number of Outputs,Output Cord Length (ft.),Output Cord Gauge (AWG),"Screen Area, if EVSE has high res display (in2)",Maximum (100%) Measured Luminance of the High Res Display,Automatic Brightness Control (ABC) Capable?,Connected Functionality Capable?,Connected Functionality Capabilities Summary,Network Protocol with Wake Capability,No Vehicle Mode Input Power (W),No Vehicle Mode Total Allowance (W),No Vehicle Mode Power Factor,Partial On Mode Input Power (W),Partial On Mode Requirement (W),Partial On Mode Power Factor,Idle Mode Input Power (W),Idle Mode Requirement (W),Idle Mode Power Factor,Full Current Operation Mode Test: Calculated Efficiency,Full Current Operation Mode Test: Total Loss (W),30 A Operation Mode Test: Calculated Efficiency,30 A Operation Mode Test: Total Loss (W),15 A Operation Mode Test: Calculated Efficiency,15 A Operation Mode Test: Total Loss (W),4 A Operation Mode Test: Calculated Efficiency,4 A Operation Mode Test: Total Loss (W),Dual Input Level 2: No Vehicle Mode Input Power (W),Dual Input No Vehicle Mode Requirement (W),Dual Input Level 2: No Vehicle Mode Power Factor,Dual Input Level 2: Partial On Mode Input Power (W),Dual Input Partial On Mode Total Requirement (W),Dual Input Level 2:  Partial On Mode Power Factor,Dual Input Level 2:  Idle Mode Input Power (W),Dual Input Idle Mode Requirement (W),Dual Input Level 2:  Idle Mode Power Factor,Dual Input Level 2:  Full Current Operation Mode Test: Calculated Efficiency,Dual Input Level 2: Full Current Operation Mode Test: Total Loss (W),Dual Input Level 2: 30 A Operation Mode Test: Calculated Efficiency,Dual Input Level 2: 30 A Operation Mode Test: Total Loss (W),Dual Input Level 2: 15 A Operation Mode Test: Calculated Efficiency,Dual Input Level 2: 15 A Operation Mode Test: Total Loss (W),Dual Input Level 2:  4 A Operation Mode Test: Calculated Efficiency,Dual Input Level 2: 4 A Operation Mode Test: Total Loss (W),Date Available on Market,Date Qualified,Markets,CB Model Identifier
2304185,"ChargePoint, Inc.",ChargePoint,CT4000 Series,CT402X  (dual ports),,Level 2,16,208,2,18,10,16.88,381,Yes,Yes,"All ChargePoint electric vehicle charging stations have the ability to reduce the output power delivered to the vehicle.  The output can be reduced by either a percent of the present load or set to a fixed kilowatt maximum value at the group or individual EVSE level.  ChargePoint offers an OpenADR 2.0b certified Virtual End Node interface for receiving pricing signals and demand response commands, which can be mapped to a designated group of EVSE (e.g. site, feeder, zip code, etc.) for the purpose of controlling load either directly or as a response to a pricing signal.  Pricing signals received over the network on a daily basis may be passed on to the driver or site host.  ChargePoint also offers a SOAP based web services API and a web based interface for controlling load of a group of EVSE or an individual EVSE.  In addition, EVSE can be scheduled to raise or lower output power at the individual or group level, such that the power output could be set to a different level at each 15 minute interval of the day on a recurring basis.  Near real-time load and status of the EVSE can be read from the OpenADR, SOAP API, and web interface for the purpose of feedback into a load management system, and historical reports of peak power, average power, and energy dispensed are available as clock aligned 15 minute intervals and charging session summaries.  Depending upon the type of load management program controlling the EVSE, drivers may have the option to override a power management event either through a mobile app, or by using a technique from the industry called the double pump, which is simply plugging in, unplugging, and plugging in the connector again within five seconds.  Site hosts and energy management service providers may choose to set fees or provide incentives for these actions to motivate behavior to optimize grid conditions.","Wi-Fi or Gigabit Ethernet,Cellular",7.09,10.12,0.47,7.195,10.12,0.705,9.67,16.52,0.51,,963.38,,,,908.355,,247.34,,,,,,,,,,,,,,,,,,10/01/2017,10/01/2017,"United States, Canada",ES_1132586_Cx402y-z Series_09272017211820_7100948
2324751,Electric Motor Werks,Electric Motor Werks Inc,Electric Vehicle Supply Equipment,JuiceBox Pro 40,"Electric Vehicle Supply Equipment,JuiceBox 40,; Electric Vehicle Supply Equipment,JuiceBox 40-Lan,; Electric Vehicle Supply Equipment,JuiceBox Pro 32,; Electric Vehicle Supply Equipment,JuiceBox Pro 40 HW,",Level 2,40,240,1,24,8,,,No,No,,Wi-Fi or Gigabit Ethernet,2.97,3.6,0.36,3.03,3.6,0.37,4.39,19.6,0.43,,97.54,,55.92,,17.05,,5.23,,,,,,,,,,,,,,,,,,08/24/2018,08/24/2018,"United States, Canada",ES_1142078_JuiceBox Pro 40_08242018135818_9098809
2321487,EVBox North America Inc,EV-Box North America Inc,Electric Vehicle Supply Equipment,B2320-65063,,Level 2,32,120,1,18,8,,,No,No,,Cellular,3.14,4.6,0.31,3.14,4.6,0.31,8.08,17.4,0.64,,54.48,,40.05,,12.94,,8.12,,,,,,,,,,,,,,,,,,06/21/2018,06/21/2018,"United States, Canada",ES_1140333_B2320-65063_06212018130501_6301934
2318915,"LiquidSky Technologies, Inc.","LiquidSky Technologies, Inc.",EV Permanent Charging Station,QuadZilla,,Level 2,80,240,4,25,6,,,No,No,No,None,1.64,2.6,0.43,1.74,2.6,0.44,7.86,34.6,0.87,,264.64,,42.2,,15.49,,7.74,,,,,,,,,,,,,,,,,,04/26/2018,04/26/2018,"United States, Canada",ES_1141759_QuadZilla_04262018200813_3293858
2318916,"LiquidSky Technologies, Inc.","LiquidSky Technologies, Inc.",EV Permanent Charging Station,WattZilla Series Uno,",WallWattz 10680,; ,WaltZilla 10380,",Level 2,80,240,1,25,6,,,No,No,No,None,1.62,2.6,0.33,1.75,2.6,0.33,8.86,34.6,0.82,,258.37,,42.14,,16.53,,8.69,,,,,,,,,,,,,,,,,,04/26/2018,04/26/2018,"United States, Canada",ES_1141759_WattZilla Series Uno_04262018201248_3568605
2318917,"LiquidSky Technologies, Inc.","LiquidSky Technologies, Inc.",EV Permanent Charging Station,WattZilla Duo,,Level 2,80,240,2,25,6,,,No,No,No,None,1.82,2.6,0.36,1.96,2.6,0.37,8.5,34.6,0.87,,261.93,,42.35,,16.28,,8.39,,,,,,,,,,,,,,,,,,04/26/2018,04/26/2018,"United States, Canada",ES_1141759_WattZilla Duo_04262018201729_3849843
2333783,"SemaConnect, Inc.",SemaConnect,SemaConnect,Model 620,"SemaConnect,520,",Level 2,30,240,1,18,10,,,No,No,,Cellular,3.9,4.6,0.22,3.9,4.6,0.23,9.2,16.6,0.63,,57.2,,57.2,,31.6,,10.6,,,,,,,,,,,,,,,,,,01/22/2019,01/22/2019,"United States, Canada",ES_1137922_Model 620_01222019101510_1010101
2321530,"Webasto Charging Systems, Inc.","AeroVironment, Inc.",Electric Vehicle Supply Equipment,EVSE-DXy32,"Electric Vehicle Supply Equipment,EVSE-DXy16,",Level 2,32,240,1,25,10,,,No,No,No,None,4.17,5.6,0.38,4.17,5.6,0.38,5.58,18.4,0.43,,85.81,,78.42,,22.62,,6.82,,,,,,,,,,,,,,,,,,06/22/2018,06/22/2018,"United States, Canada",ES_1018435_EVSE-DXy32_06222018171031_7431181
2321531,"Webasto Charging Systems, Inc.","AeroVironment, Inc.",Electric Vehicle Supply Equipment,EVSE-TC3823,"Electric Vehicle Supply Equipment,EVSE-TC1111,; Electric Vehicle Supply Equipment,EVSE-TC1912,",Level 2,16,240,1,21,14,,,No,No,No,None,1.62,2.6,0.4,1.55,2.6,0.4,3.82,9,0.5,,43.12,,,,23.71,,5.58,,,,,,,,,,,,,,,,,,06/22/2018,06/22/2018,"United States, Canada",ES_1018435_EVSE-TC3823_06222018173543_8943371
2321532,"Webasto Charging Systems, Inc.","AeroVironment, Inc.",Electric Vehicle Supply Equipment,EVSE-TC3834,,Level 2,12,120,1,21,14,,,No,No,No,None,1.6,2.6,0.39,1.56,2.6,0.39,3.82,9,0.5,,43.28,,,,37.26,,6.63,,,,,,,,,,,,,,,,,,06/22/2018,06/22/2018,"United States, Canada",ES_1018435_EVSE-TC3834_06222018174335_9415324
