ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Fuel Type,Furnace is ENERGY STAR Certified in,Efficiency (AFUE),Capable of Two Way Communication?,Date Available On Market,Date Qualified,Markets,CB Model Identifier,Can Integrate Hot Water Heating,Meets ENERGY STAR Most Efficient 2019 Criteria
2311374,Allied Air Enterprises,AIREASE,A962E SERIES,A96UH2E030B08*-*,,"Natural Gas,Propane Gas",All,96,Not Applicable,10/28/2015,03/29/2018,"United States, Canada",ES_1102531_A96UH2E030B08*-*_03052018223238_6446686,No,No
2311376,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E110C20*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/29/2018,"United States, Canada",ES_1102531_A95DF2E110C20*-*_03052018223431_7063151,No,No
2311380,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E090C16*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/29/2018,"United States, Canada",ES_1102531_A95DF2E090C16*-*_03052018223530_5047984,No,No
2311384,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E070B16*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/29/2018,"United States, Canada",ES_1102531_A95DF2E070B16*-*_03052018223643_5997086,No,No
2311388,Allied Air Enterprises,AIREASE,A952E SERIES,A95DF2E045B12*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/29/2018,"United States, Canada",ES_1102531_A95DF2E045B12*-*_03052018223746_5748635,No,No
2311392,Allied Air Enterprises,AIREASE,A952E SERIES,A95UH2E135D20*-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,09/09/2013,03/29/2018,"United States, Canada",ES_1102531_A95UH2E135D20*-*_03052018223858_7014164,No,No
2311396,Allied Air Enterprises,AIREASE,A97USMV Series,A97USMV090C12S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/27/2012,03/29/2018,"United States, Canada",ES_1102531_A97USMV090C12S-*_03052018224015_9380534,No,No
2311398,Allied Air Enterprises,AIREASE,A97DSMV Series,A97DSMV110C20S-*,,"Natural Gas,Propane Gas",All,97,Other/Proprietary,04/11/2012,03/29/2018,"United States, Canada",ES_1102531_A97DSMV110C20S-*_03052018224120_2718569,No,No
2311399,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E045B12-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,05/01/2015,11/05/2018,"United States, Canada",ES_1102531_A95UH1E045B12-*_03052018224222_7595311,No,No
2311403,Allied Air Enterprises,AIREASE,A95 Series,A95UH1E070B12-*,,"Natural Gas,Propane Gas",All,95,Not Applicable,01/02/2014,11/05/2018,United States,ES_1102531_A95UH1E070B12-*_03052018224337_7704598,No,No
