ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,COP Rating,Energy Efficiency (EER) ,Date Available On Market,Date Qualified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2226285,Carrier Corporation,Bryant,GB,GB024H/V******1*X1,,Closed Loop Water-to-Air,4,21.1,05/12/2014,11/26/2014,"United States, Canada",ES_1020846_11262014121037_7936211,No
2226289,Carrier Corporation,Bryant,GB,GB024H/V******1*X1,,Open Loop Water-to-Air,4.6,28.1,05/12/2014,11/26/2014,"United States, Canada",ES_1020846_11262014121038_1956075,No
2226283,Carrier Corporation,Bryant,GB,GB030H/V******1*X1,,Closed Loop Water-to-Air,4.3,19.4,05/12/2014,11/26/2014,"United States, Canada",ES_1020846_11262014121036_6598066,No
2226287,Carrier Corporation,Bryant,GB,GB030H/V******1*X1,,Open Loop Water-to-Air,5.2,27,05/12/2014,11/26/2014,"United States, Canada",ES_1020846_11262014121038_4006244,No
2335420,Carrier Corporation,Bryant,GB,GB036H******1**1,,Open Loop Water-to-Air,4.6,22.8,02/20/2011,03/28/2019,"United States, Canada",ES_1020846_GB036H******1**1_03262019143200_5910922,No
2335444,Carrier Corporation,Bryant,GB,GB036H******1**1,,Closed Loop Water-to-Air,3.8,17.5,02/20/2011,03/28/2019,"United States, Canada",ES_1020846_GB036H******1**1_03262019143200_4347643,No
2226030,Carrier Corporation,Bryant,GB,GB036H/V******1*X1,,Closed Loop Water-to-Air,4.1,19.7,05/12/2014,11/26/2014,"United States, Canada",ES_1020846_11262014121037_4996665,No
2226071,Carrier Corporation,Bryant,GB,GB036H/V******1*X1,,Open Loop Water-to-Air,4.9,25.9,05/12/2014,11/26/2014,"United States, Canada",ES_1020846_11262014121038_7619996,No
2335423,Carrier Corporation,Bryant,GB,GB036V******1**1,,Closed Loop Water-to-Air,3.9,19.7,02/20/2011,03/28/2019,"United States, Canada",ES_1020846_GB036V******1**1_03262019143200_6263672,No
2335441,Carrier Corporation,Bryant,GB,GB036V******1**1,,Open Loop Water-to-Air,4.9,25.9,02/20/2011,03/28/2019,"United States, Canada",ES_1020846_GB036V******1**1_03262019143201_6946255,No
