ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Page Format Size,Marking Technology,Color Capability,Print Speed (ipm or mppm),Automatic Duplex Output Capable,Typical Electricity Consumption (TEC) (kWh/wk),Typical Electricity Consumption (TEC) (kWh/yr),Power in Sleep (Watts),Power in Standby (Watts),Default Delay Time to Sleep (minutes),Print/Copy Time from Ready State (s),Print/Copy Time from Sleep Mode (s),Print/Copy Time from Previous Job (s),Digital Front End (DFE) Manufacturer,DFE Model Number,DFE Typical Electricity Consumption (TEC) (kWh/wk),DFE Typical Electricity Consumption (TEC) (kWh/yr),DFE Ready State Power (Watts),DFE Sleep Mode Power (Watts),Functional Adders,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2195560,Avision Inc.,Avision,AV110-OBM WI-FI,AV110-OBM WI-FI,,Scanners,Standard,Electro-photographic (EP),,8,No,,,4.01,0.16,0,,,,,,,,,,"Wireless - WiFi, None",10/01/2013,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV110-OBM WI-FI_11262013091021_7021257
2195656,Avision Inc.,Avision,AV610C2+,AV610C2+,,Scanners,Standard,Electro-photographic (EP),,40,No,,,1.95,0.24,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",06/01/2012,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV610C2+_11262013102530_1530898
2195657,Avision Inc.,Avision,AV620C2+,AV620C2+,,Scanners,Standard,Electro-photographic (EP),,40,No,,,1.95,0.24,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",06/01/2012,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV620C2+_11262013100735_0455039
2195658,Avision Inc.,Avision,AV620N,AV620N,,Scanners,Standard,Electro-photographic (EP),,40,No,,,1.95,0.24,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",06/01/2012,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV620N_11262013100805_0485801
2195723,Avision Inc.,Avision,DF-1004S,DF-1004S,,Scanners,Standard,Electro-photographic (EP),,40,No,,,1.95,0.24,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",06/01/2012,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DF-1004S_11262013102545_1545080
2195725,Avision Inc.,Avision,DF-1015S,DF-1015S,,Scanners,Standard,Electro-photographic (EP),,40,No,,,1.95,0.24,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",06/01/2012,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DF-1015S_11262013100750_0470007
2195727,Avision Inc.,Avision,AV176U,AV176U,,Scanners,Standard,Electro-photographic (EP),,30,No,,,1.94,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",08/15/2010,11/21/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV176U_11252013052445_7085649
2195745,Avision Inc.,Avision,FF-1301S,FF-1301S,,Scanners,Standard,Electro-photographic (EP),,8,No,,,4.01,0.16,0,,,,,,,,,,"Wireless - WiFi, None",10/01/2013,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | FF-1301S_11262013091037_7037932
2195746,Avision Inc.,Avision,MiCube Wi-Fi,MiCube Wi-Fi,,Scanners,Standard,Electro-photographic (EP),,8,No,,,4.01,0.16,0,,,,,,,,,,"Wireless - WiFi, None",10/01/2013,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | MiCube Wi-Fi_11262013091109_7069122
2195747,Avision Inc.,Avision,MiCube,MiCube,,Scanners,Standard,Electro-photographic (EP),,8,No,,,4.01,0.16,0,,,,,,,,,,"Wireless - WiFi, None",10/01/2013,11/22/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | MiCube_11262013091052_7052855
2197203,Avision Inc.,Avision,AV320E2+,AV320E2+,,Scanners,Standard,Electro-photographic (EP),,40,No,,,2.04,0.27,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",03/01/2012,11/26/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV320E2+_11282013024338_6618140
2198202,Avision Inc.,Avision,AV1730,AV1730,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.82,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",02/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV1730_12102013081136_3096899
2198203,Avision Inc.,Avision,AV1750,AV1750,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.82,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",02/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV1750_12102013081819_3499212
2198204,Avision Inc.,Avision,AV1760,AV1760,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.82,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",02/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV1760_12102013073916_1156225
2198212,Avision Inc.,Avision,DF-1112S,DF-1112S,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.82,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",02/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DF-1112S_12102013074015_1215944
2198213,Avision Inc.,Avision,DF-1113S,DF-1113S,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.82,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",02/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DF-1113S_12102013080217_2537364
2198214,Avision Inc.,Avision,DF-1114S,DF-1114S,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.82,0.23,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",02/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DF-1114S_12102013081208_3128736
2198354,Avision Inc.,Avision,AV1880,AV1880,,Scanners,Standard,Electro-photographic (EP),,40,No,,,2.5,0.12,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",08/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV1880_12122013002049_7649191
2198358,Avision Inc.,Avision,DL-1203S,DL-1203S,,Scanners,Standard,Electro-photographic (EP),,40,No,,,2.5,0.12,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",08/15/2012,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DL-1203S_12122013002122_7682314
2198376,Avision Inc.,Avision,FF-1105B,FF-1105B,,Scanners,Standard,Electro-photographic (EP),,5,No,,,1.06,0.12,2,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",07/30/2011,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | FF-1105B_12122013015000_3000815
2198377,Avision Inc.,Avision,IS 25,IS 25,,Scanners,Standard,Electro-photographic (EP),,5,No,,,1.06,0.12,2,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",07/30/2011,12/06/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | IS 25_12102013103327_1607796
2198979,Avision Inc.,Avision,DF-1002S,DF-1002S,,Scanners,Standard,Electro-photographic (EP),,20,No,,,2.16,0.12,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",05/15/2010,12/12/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | DF-1002S_12172013085250_0370676
2198981,Avision Inc.,Avision,FB2280E,FB2280E,,Scanners,Standard,Electro-photographic (EP),,20,No,,,2.16,0.12,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",05/15/2010,12/12/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | FB2280E_12172013085211_0331032
2200004,Avision Inc.,Avision,AV5100,AV5100,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.17,0.28,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",11/15/2011,12/24/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV5100_01092014094435_0675214
2200006,Avision Inc.,Avision,AV5200,AV5200,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.17,0.28,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",11/15/2011,12/24/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV5200_01092014094717_0837801
2200007,Avision Inc.,Avision,AV5400,AV5400,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.17,0.28,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",11/15/2011,12/24/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | AV5400_01092014094811_0891973
2200011,Avision Inc.,Avision,BT-1007B,BT-1007B,,Scanners,Standard,Electro-photographic (EP),,120,No,,,2.17,0.28,15,,,,,,,,,,"Wired > 20 MHz and < 500 MHz - USB 2.x, None",11/15/2011,12/24/2013,"United States, Switzerland, Taiwan, Japan, Canada",ES_1105798_AVISION INC (175217) | BT-1007B_01092014095233_1153209
