ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Product Form Factor,Number of glass doors,Number of solid doors,Total Number of Doors,Door Opening Orientation,Number of Internal Ports and/or Access Holes,Number of Drawers or Shelves,Defrost Type,Refrigerant Type,Refrigerant Type Other,Total Volume (cubic feet),Average Test Cabinet  (ºC),Peak Temperature Variance (ºC),Lab Grade Refrigerator or Freezer Energy Consumption (kWh/day),Ultra-Low Temperature Freezer Energy Consumption (kWh/day/cu-ft),Steady State Energy Consumption (kWh/day),Maximum Daily Energy Allowance (kWh/day),Depth (in),Height,Width,Installed Accessories,Date Available on Market,Date Qualified,Markets,ENERGY STAR Model Identifier
2291002,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2304BA,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,7,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,Chart Recorder,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2304BA_02172017140255_0175243
2296321,PHC Corporation of North America,Panasonic,SR-L6111W-PA,SR-L6111W-PA,,High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",0,2,Automatic,R-134a,,5.53,3.8,3.56,0.82,,0.75,4.52,24.25,33.5,23.62,"shelves only, no additional electrical",11/01/2012,05/18/2017,"United States, Canada",ES_1139382_SR-L611W-PA_05192017104903_0943635
2296323,PHC Corporation of North America,Panasonic,MPR-514-PA,MPR-514-PA,",MPR-514R-PA,",High Performance Refrigerator,Upright,2,0,2,Sliding,0,5,Automatic,R-134a,,17.23,4.35,3.28,6.27,,6.23,6.67,23.5,69.5,35.5,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MPR-514-PA_05192017115621_4981361
2296324,PHC Corporation of North America,Panasonic,SF-L6111W-PA,SF-L6111W-PA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,2,Manual,R-134a,,5.26,-20.82,6.5,1.69,,1.64,10.47,17.75,69.88,31.5,"shelves only, no additional electrical",11/01/2012,05/18/2017,"United States, Canada",ES_1139382_SF-L6111W-PA_05192017120107_5267529
2296325,PHC Corporation of North America,Panasonic,MDF-U731M-PA,MDF-U731M-PA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,5,Manual,R-404A,,23.8,-19.47,9.39,2.89,,2.69,12.77,32.75,74.25,30.25,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MDF-U731M-PA_05192017120438_5478524
2296326,PHC Corporation of North America,Panasonic,MDF-U731-PA,MDF-U731-PA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,4,Automatic,R-404A,,21.86,-19.56,8.56,6.55,,6.28,11.96,33,74.13,30.25,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MDF-U731-PA_05192017121215_5935129
2296327,PHC Corporation of North America,Panasonic,MPR-1411-PA,MPR-1411-PA,",MPR-1411R-PA,",High Performance Refrigerator,Upright,2,0,2,"Swinging,Left,Right",0,4,Automatic,R-404A,,49.28,5.07,4.56,9.14,,9.09,11.66,32.87,74.25,56.75,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MPR-1411-PA_05192017121533_6133222
2296328,PHC Corporation of North America,Panasonic,MPR-721-PA,MPR-721-PA,",MPR-721R-PA,",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",0,4,Automatic,R-134a,,23.94,5.09,4.06,6.42,,6.23,7.9,32.87,74.25,30.5,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MPR-721-PA_05192017122035_6435134
2296465,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320EA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,9,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320EA_05192017213624_9784355
2296466,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320FA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,4,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320FA_05222017200459_3499964
