PD_ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Motor Design,Reported WEF (kgal/kWh),Percent Above ENERGY STAR Requirement,Minimum WEF,Flow (GPM) at low speed measurement point,Head (ftH20) at low speed measurement point,RPM at low speed measurement point,Power (W) at low speed measurement point,Flow (GPM) at high speed measurement point,RPM at high speed measurement point,Head (ft.H20) at high speed point,Power (W) at high speed measurement point,Speed (RPM),Curve-A Flow (GPM),Curve-A Power (W),Curve-A Energy Factor (Gal/Wh),Curve-C Flow (GPM),Curve-C Power (W),Curve-C Energy Factor (Gal/Wh),Curve-B Flow (GPM),Curve-B Power (W),Curve-B Energy Factor (Gal/Wh),Standby Average Power (W),Motor Construction,Hydraulic Horsepower (HHP),Rated Horsepower (HP),Freeze Protection,PCBP Number of Stages,Connected Functionality,Connects Using,Communication Standard - Application Layer,Communication Hardware Architecture,Network Standby Power (W),Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier
2330252,Hayward Industries Inc.,Hayward,PowerFlo VS,SP1580X15VSP,,Above-Ground (Non-Self-Priming) Pool Filter Pump,Variable-speed,10.698,140,4.45,25.01,5.1,1362.56,86.97,51.77,2774.36,22.05,484.55,,48.95,784.12,,64.34,861.28,,30,662.49,,3,Electronically-commutated Motor,0.55,1.1,No,,No,,,,,10/15/2018,11/21/2018,"United States, Canada",ES_1122275_SP1580X15VSP_11272018124253_2573269
2330892,Pentair Aquatic Systems,Pentair,IntelliFlo VSF,011012,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,5.838,16,5.04,31.15,7.81,1083.0,151.89,78.41,2750,50.44,1428.67,,72.6,2401.02,,98.41,2764.42,,43.35,1946.85,,,Electronically-commutated Motor,1.966,3,No,,No,,,,,04/11/2005,10/29/2018,"United States, Canada",ES_1122277_011012_12062018204601_9161583
2330893,Pentair Aquatic Systems,Pentair,IntelliFlo VS,011018,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,5.838,16,5.04,31.15,7.81,1083.0,151.89,78.41,2750,50.44,1428.67,,72.6,2401.02,,98.41,2764.42,,43.35,1946.85,,,Electronically-commutated Motor,1.966,3,No,,No,,,,,02/17/2011,10/29/2018,"United States, Canada",ES_1122277_011018_12062018204831_9311533
2330897,Pentair Aquatic Systems,Pentair,IntelliFlo 2 VST,011055,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,01/01/2016,10/29/2018,"United States, Canada",ES_1122277_011055_12062018210233_0153624
2330898,Pentair Aquatic Systems,Pentair,IntelliFlo VSF,011056,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,05/22/2017,10/29/2018,"United States, Canada",ES_1122277_011056_12062018210526_0326824
2330899,Pentair Aquatic Systems,Pentair,IntelliFlo VS + SVRS,011057,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,07/01/2016,10/29/2018,"United States, Canada",ES_1122277_011057_12062018210611_0371142
2330900,Pentair Aquatic Systems,Pentair,IntelliPro VS + SVRS,013002,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,07/01/2016,10/29/2018,"United States, Canada",ES_1122277_013002_12062018211216_0736031
2330901,Pentair Aquatic Systems,Pentair,Shasta IntelliFlo VSF,S-011056,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,05/22/2017,10/29/2018,"United States, Canada",ES_1122277_S-011056_12062018211251_0771590
2330902,Pentair Aquatic Systems,Pentair,Shasta IntelliFlo VS,S-011058,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,01/01/2016,10/29/2018,"United States, Canada",ES_1122277_S-011058_12062018211328_0808593
2330938,Pentair Aquatic Systems,Pentair,IntelliFlo VS,011028,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.117,24,4.95,31.16,7.91,1072.5,133.59,79.53,2760.5,51.97,1468.47,,73.4,2455.43,,99.42,2847.87,,43.77,1975.56,,,Electronically-commutated Motor,2.036,3,No,,No,,,,,03/01/2018,10/29/2018,"United States, Canada",ES_1122277_011028_12062018210200_0120094
2330939,Pentair Aquatic Systems,Pentair,IntelliFlo i1 VS,011059,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,7.501,19,6.3,31.21,8.02,1320.5,142.86,65.81,2773,35.38,908.26,,63.68,1588,,82.27,1691.76,,39.53,1352.81,,,Electronically-commutated Motor,1.134,1,No,,No,,,,,01/01/2016,10/29/2018,"United States, Canada",ES_1122277_011059_12062018212854_1734162
2330940,Pentair Aquatic Systems,Pentair,IntelliFlo i2 VS,011060,,In-Ground (Self-Priming) Pool Filter Pump,Variable-speed,6.854,27,5.39,31.21,8.04,1147.5,131.88,74.66,2749,45.44,1219.0,,69.25,2074.4,,93.25,2346.58,,41.81,1729.67,,,Electronically-commutated Motor,1.685,2,No,,No,,,,,01/01/2016,10/29/2018,"United States, Canada",ES_1122277_011060_12062018214145_2505692
