ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Energy Factor (EF),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2333480,Beko,DUT36420***,",DUT36420W,; ,DUT36420X,",Standard,234,307,24,,2.66,5,47,No,,,,04/01/2019,02/13/2019,"United States, Canada",ES_1036108_DUT36420***_02132019203623_0183597,Yes
2302468,Bertazzoni,DW18PR,,Standard,234,307,24,,3.1,5,38,No,,,,08/16/2017,08/23/2017,"United States, Canada",ES_1133661_DW18PR_08232017123621_1781988,No
2302467,Bertazzoni,DW24PR,,Standard,234,307,24,,3.5,5,30,No,,,,08/16/2017,08/23/2017,"United States, Canada",ES_1133661_DW24PR_08232017122933_1373046,No
2251086,Bertazzoni,DW24XT,,Standard,249,307,19,,3.5,5,30,No,,,,10/26/2015,10/22/2015,"United States, Canada",ES_1133661_DW24XT_10222015165226_2746169,No
2251087,Bertazzoni,DW24XV,,Standard,249,307,19,,3.5,5,30,No,,,,10/26/2015,10/22/2015,"United States, Canada",ES_1133661_DW24XV_10222015165642_3002822,No
2300531,BLACK+DECKER,BCD6W,,Compact,203,,,,3.1,,,No,,,,07/21/2017,07/18/2017,"United States, Canada",ES_1126481_BCD6W_06222017020251_70140852,No
2253920,Blomberg,DW 25502 **,",DW 25502 *,",Standard,255,307,17,,3.13,5,37,No,,,,03/01/2016,11/23/2015,"United States, Canada",ES_1036108_DW 25502 **_11302015142859_2889024,No
2308318,Blomberg,DW 51600 ****,,Standard,234,307,24,,2.66,5,47,No,,,,11/15/2017,12/20/2017,"United States, Canada",ES_1036108_DW 51600 ****_12222017221251_0771123,Yes
2308319,Blomberg,DW 52600 ****,,Standard,234,307,24,,2.66,5,47,No,,,,11/15/2017,12/20/2017,"United States, Canada",ES_1036108_DW 52600 ****_12222017221332_0812934,Yes
2253919,Blomberg,DW 55502 ***,",DW 55502 **,; ,DW 55502 *,",Standard,255,307,17,,3.13,5,37,No,,,,03/01/2016,11/23/2015,"United States, Canada",ES_1036108_DW 55502 ***_11302015142859_5850167,No
2320777,Blomberg,DWS 51500 ****,,Standard,220,307,28,,2.4,5,52,No,,,,06/01/2018,06/01/2018,"United States, Canada",ES_1036108_DWS 51500 ****_06012018181115_6675717,Yes
2253936,Blomberg,DWS 55100 ***,",DWS 55100 **,; ,DWS 55100 *,",Standard,220,307,28,,3.07,5,39,No,,,,01/01/2016,11/30/2015,"United States, Canada",ES_1036108_DWS 55100 ***_11302015155408_2708246,Yes
2253918,Blomberg,DWT 25502 **,",DWT 25502 *,",Standard,255,307,17,,3.13,5,37,No,,,,03/01/2016,11/23/2015,"United States, Canada",ES_1036108_DWT 25502 **_11302015142859_2123072,No
2320773,Blomberg,DWT 25504 ****,,Standard,234,307,24,,2.66,5,47,No,,,,06/01/2018,06/01/2018,"United States, Canada",ES_1036108_DWT 25504 ****_06012018175508_5708843,Yes
2253926,Blomberg,DWT 28500 **,",DWT 28500 *,",Standard,225,307,27,,2.4,5,52,No,,,,03/01/2016,11/19/2015,"United States, Canada",ES_1036108_DWT 28500 **_11172015125730_6807214,Yes
2253931,Blomberg,DWT 28500 **WS,",DWT 28500 **WS,* can represent any alpha or numeric character; ,DWT 28500 *WS,",Standard,256,307,17,,2.4,5,52,No,,,,03/01/2016,11/30/2015,"United States, Canada",ES_1036108_DWT 28500 **WS_11302015153650_3378869,No
2308320,Blomberg,DWT 51600 ****,,Standard,234,307,24,,2.66,5,47,No,,,,11/15/2017,12/20/2017,"United States, Canada",ES_1036108_DWT 51600 ****_12222017221455_0895801,Yes
