ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier
2220169,Equator,FR 502-650 W,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,391,438,11,No,09/24/2014,08/06/2014,"United States, Canada",ES_0040188_FR 502-650 W_08292014121414_70009788
2275448,EuroDesign,EDV064S,,Upright Freezer,Manual,Yes,No,No,No,6.3,11.1,289,322,10,No,08/15/2016,08/16/2016,Canada,ES_1125680_EDV064S_08172016035134_5894744
2216934,Fisher & Paykel,RB36S,,Upright Freezer,Automatic,Yes,No,No,No,3.7,6.5,300,418,28,No,08/14/2014,07/14/2014,"United States, Canada",ES_31708_RB36S_08012014195535_2935368
2320354,Fisher & Paykel,RS18F,,Upright Freezer,Automatic,No,Yes,Yes,Yes,7.8,13.7,415,480,15,No,07/01/2018,05/23/2018,"United States, Canada",ES_31708_RS1884FLJ1_05232018153043_9443195
2320365,Fisher & Paykel,RS24F,,Upright Freezer,Automatic,No,Yes,Yes,Yes,11.9,20.9,440,551,22,No,07/01/2018,05/23/2018,"United States, Canada",ES_31708_RS2484FRJ1_05232018154722_0442046
2320386,Fisher & Paykel,RS30F,,Upright Freezer,Automatic,No,Yes,Yes,Yes,15.6,27.5,491,616,22,No,07/01/2018,05/23/2018,"United States, Canada",ES_31708_RS3084FLJ1_05232018173646_7006338
2266698,Frigidaire,BKFH17F1SW*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,05/09/2016,05/09/2016,"United States, Canada",ES_1021080_BKFH17F1SW*_05132016041445_70077657
2242001,Frigidaire,CFFH17F1RW*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,06/22/2015,06/17/2015,"United States, Canada",ES_1021080_CFFH17F1RW*_06222015061714_70036140
2244473,Frigidaire,CFFH17F1RW*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,06/29/2015,06/17/2015,"United States, Canada",ES_1021080_CFFH17F1RW*_07262015035412_70040185
2304848,Frigidaire,CFFH17F1TW0,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,10/16/2017,10/06/2017,"United States, Canada",ES_1021080_CFFH17F1TW0_10112017032824_70158493
2234547,Frigidaire,FFFH17F1RW*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,03/02/2015,03/04/2015,"United States, Canada",ES_1021080_FFFH17F1RW*_03112015072806_70025812
2220962,Frigidaire,FFFH17F2QW*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,09/08/2014,09/25/2014,"United States, Canada",ES_1021080_FFFH17F2QW*10012014013337_70012088
2220961,Frigidaire,FFFH17F4QT*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,09/08/2014,09/25/2014,"United States, Canada",ES_1021080_FFFH17F4QT*10012014013337_70012088
2220973,Frigidaire,FFFH17F4QW*,,Upright Freezer,Automatic,No,No,No,No,16.6,29.3,431,481,10,No,09/08/2014,09/25/2014,"United States, Canada",ES_1021080_FFFH17F4QW*10012014013337_70012088
2220966,Frigidaire,FFFH20F2QW*,,Upright Freezer,Automatic,No,No,No,No,20.2,35.6,480,535,10,No,09/08/2014,09/25/2014,"United States, Canada",ES_1021080_FFFH20F2QW*10012014013337_70012088
2316193,Frigidaire,FFFH20F2QWE,,Upright Freezer,Automatic,No,No,No,No,20.2,35.6,480,535,10,No,03/19/2018,03/26/2018,"United States, Canada",ES_1021080_FFFH20F2QWE_03292018020135_70178247
2220980,Frigidaire,FFFH21F4QT*,,Upright Freezer,Automatic,No,No,No,No,20.5,36.1,484,539,10,No,09/08/2014,09/25/2014,"United States, Canada",ES_1021080_FFFH21F4QT*10012014013337_70012088
2316196,Frigidaire,FFFH21F4QTB,,Upright Freezer,Automatic,No,No,No,No,20.5,36.1,484,539,10,No,03/19/2018,03/26/2018,"United States, Canada",ES_1021080_FFFH21F4QTB_03292018020135_70178247
2220979,Frigidaire,FFFH21F4QW*,,Upright Freezer,Automatic,No,No,No,No,20.5,36.1,484,539,10,No,09/08/2014,09/25/2014,"United States, Canada",ES_1021080_FFFH21F4QW*10012014013337_70012088
