ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Initial Solar Reflectance,Solar Reflectance after 3 years,Initial Emissivity,Low Slope?,Steep Slope?,Roof Cleaned Prior to 3rd Year Test,Warranty Period (yrs),Date Available On Market,Date Qualified,Markets,CB Model Identifier
2248264,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Bone White,KW3R17374,,Coating,0.72,0.7,0.83,Yes,Yes,No,35,01/01/2005,09/21/2015,"United States, Canada",ES_1019374_9212015000000_0006795
2248265,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Charcoal,KA3Y37782,,Coating,0.26,0.25,0.83,No,Yes,No,35,01/01/2005,09/21/2015,"United States, Canada",ES_1019374_9212015000000_0006797
2248266,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Hunter Green,KG3Y37791,,Coating,0.26,0.25,0.83,No,Yes,No,35,01/01/2005,09/21/2015,"United States, Canada",ES_1019374_9212015000000_0006792
2248292,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Arcadia Green,KG3Y97794,,Coating,0.32,0.32,0.83,No,Yes,No,35,01/01/2005,09/22/2015,"United States, Canada",ES_1019374_9222015000000_0006793
2248296,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Legend White,KW3Y37795,,Coating,0.67,0.66,0.83,Yes,Yes,No,35,01/01/2005,09/22/2015,"United States, Canada",ES_1019374_9222015000000_0006794
2248298,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Slate Gray,KA3Y37778,,Coating,0.35,0.35,0.83,No,Yes,No,35,01/01/2005,09/22/2015,"United States, Canada",ES_1019374_9222015000000_0006798
2248301,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Deep Blue,XL3Y39261,,Coating,0.25,0.25,0.83,No,Yes,No,40,01/01/2007,09/22/2015,"United States, Canada",ES_1019374_9222015000000_0006805
2248391,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Blue,XL3Y49243,,Coating,0.32,0.34,0.83,No,Yes,No,40,01/01/2007,09/23/2015,"United States, Canada",ES_1019374_9232015000000_0006806
2248396,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Burnished Slate,XS3Y45198,,Coating,0.26,0.25,0.83,No,Yes,No,40,01/01/2007,09/23/2015,"United States, Canada",ES_1019374_9232015000000_0006807
2248445,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Ash Gray,XA3Y45195,,Coating,0.35,0.42,0.84,No,Yes,No,40,01/01/2007,09/24/2015,"United States, Canada",ES_1019374_9242015000000_0006814
2248662,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Stratford Brown,KN3Y37784,,Coating,0.25,0.25,0.83,No,Yes,No,35,01/01/2005,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006791
2248666,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Brown,KN3Y41692,,Coating,0.33,0.31,0.83,No,Yes,No,35,01/01/2005,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006832
2248667,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Red,XR3G40864,,Coating,0.35,0.35,0.83,No,Yes,No,40,10/25/2005,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006801
2248693,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Cool White,XW3Y41540,,Coating,0.7,0.67,0.84,Yes,Yes,No,40,01/01/2007,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006833
2248694,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Sand Gold,XD3Y45202,,Coating,0.58,0.54,0.84,No,Yes,No,40,01/01/2007,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006803
2248699,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Tan,XT3Y47810,,Coating,0.58,0.45,0.84,No,Yes,No,40,01/01/2007,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006804
2248716,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Bright Red,XR3Y43421,,Coating,0.38,0.35,0.84,No,Yes,No,40,01/01/2007,09/30/2015,"United States, Canada",ES_1019374_9302015000000_0006802
2248994,AkzoNobel,TRINAR&reg; COOL CHEMISTRY&reg;,Copper,KM2R34922,,Coating,0.54,0.35,0.81,No,Yes,No,35,01/01/2005,10/01/2015,"United States, Canada",ES_1019374_10012015000000_0006799
2249001,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Tan,XT3Y40719,,Coating,0.54,0.32,0.84,No,Yes,No,40,01/01/2007,10/01/2015,"United States, Canada",ES_1019374_10012015000000_0006808
2249203,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Barn Red,XR3Y41595,,Coating,0.3,0.25,0.84,No,Yes,No,40,01/01/2007,10/02/2015,"United States, Canada",ES_1019374_10022015000000_0006800
2249205,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Emerald Green,XG3Y45196,,Coating,0.26,0.25,0.83,No,Yes,No,40,01/01/2007,10/02/2015,"United States, Canada",ES_1019374_10022015000000_0006809
2249207,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Charcoal,XA3Y45201,,Coating,0.28,0.25,0.84,No,Yes,No,40,01/01/2007,10/02/2015,"United States, Canada",ES_1019374_10022015000000_0006813
2249299,AkzoNobel,CERAM-A-STAR&reg; 1050 COOL CHEMISTRY&reg;,Ebony Black,XB3Y45205,,Coating,0.25,0.25,0.83,No,Yes,No,40,01/01/2007,10/05/2015,"United States, Canada",ES_1019374_10052015000000_0006812
