ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2254738,Arctic King,AKSC08CR61,,8000,Window,No,Casement-slider,16. Casement-Slider,,,11.4,10,526,No,,,,12/01/2015,12/08/2015,"United States, Canada",ES_1030337_AKSC08CR61_12112015061839_4719346
2254740,Arctic King,AKTW08CR61,",AKTW08CR71E,",8000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,566,No,,,,12/01/2015,12/08/2015,"United States, Canada",ES_1030337_AKTW08CR61_12112015061954_4794819
2254739,Arctic King,AKTW10CR61,",AKTW10CR71E,",10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,12/01/2015,12/08/2015,"United States, Canada",ES_1030337_AKTW10CR61_12112015062007_4807765
2254741,Arctic King,AKTW10CR62,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,12/01/2015,12/08/2015,"United States, Canada",ES_1030337_AKTW10CR62_12112015062025_4825812
2254743,Arctic King,AKTW12CR61,",AKTW12CR71E,",12000,Through the Wall,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,,10.5,11,857,No,,,,12/01/2015,12/08/2015,"United States, Canada",ES_1030337_AKTW12CR61_12112015062048_4848531
2254742,Arctic King,AKTW12CR62,,12000,Through the Wall,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,,10.5,11,857,No,,,,12/01/2015,12/08/2015,"United States, Canada",ES_1030337_AKTW12CR62_12112015062102_4862002
2256680,Arctic King,AKW06CR61,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,12/03/2015,12/22/2015,United States,ES_1030337_AKW06CR61_12152015102246_1959802
2323915,Arctic King,AKW06CR71,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,07/15/2018,07/31/2018,"United States, Canada",ES_1030337_AKW06CR71_07312018065434_0075003
2256962,Arctic King,AKW08CR61,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,12/03/2015,12/22/2015,United States,ES_1030337_AKW08CR61_12152015103059_6302148
2290128,Arctic King,AKW08CR71,",AKW08CR71E,",8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,02/06/2017,02/06/2017,"United States, Canada",ES_1138537_AKW08CR71_02072017071503_1703678
2256965,Arctic King,AKW10CR61,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,12/03/2015,12/22/2015,United States,ES_1030337_AKW10CR61_12152015104256_7851220
2290125,Arctic King,AKW10CR71,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,02/06/2017,02/06/2017,"United States, Canada",ES_1138537_AKW10CR71_02072017071514_1714954
2323913,Arctic King,AKW10CR71E,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,07/15/2018,07/31/2018,Canada,ES_1030337_AKW10CR71E_07312018032145_7305192
2256967,Arctic King,AKW12CR61,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,12/03/2015,12/22/2015,United States,ES_1030337_AKW12CR61_12152015105304_3648492
2290124,Arctic King,AKW12CR71,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,02/06/2017,02/06/2017,"United States, Canada",ES_1138537_AKW12CR71_02072017071541_1741884
2323914,Arctic King,AKW12CR71E,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,07/15/2018,07/31/2018,Canada,ES_1030337_AKW12CR71E_07312018032537_7537847
2256969,Arctic King,AKW15CR61,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,960,No,,,,12/03/2015,12/22/2015,United States,ES_1030337_AKW15CR61_12152015110536_7748529
2290123,Arctic King,AKW15CR71,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,960,No,,,,02/06/2017,02/06/2017,"United States, Canada",ES_1138537_AKW15CR71_02072017071554_1754638
2290122,Arctic King,AKW18CR72,,18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,02/06/2017,02/06/2017,"United States, Canada",ES_1138537_AKW18CR72_02072017071606_1766247
2255247,Arctic King,AKW25CR62,,25000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1820,No,,,,12/03/2015,12/22/2015,United States,ES_1030337_AKW25CR62_12152015112258_4698449
2293411,Arctic King,AKW25CR72E,,25000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1820,No,,,,03/31/2017,03/31/2017,"United States, Canada",ES_1030337_AKW25CR72E_03312017073152_5512898
2334319,Arctic King,KAW15R1AWT,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,,11.8,10,960,No,,,,03/01/2019,03/07/2019,"United States, Canada",ES_1138537_KAW15R1AWT_02282019105905_70217291
2334223,Arctic King,KAW18R2AWT,,18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,03/05/2019,03/06/2019,"United States, Canada",ES_1138537_KAW18R2AWT_03062019042053_6053149
2334225,Arctic King,KAW25R2AWT,,25000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1820,No,,,,03/05/2019,03/06/2019,"United States, Canada",ES_1138537_KAW25R2AWT_03062019042155_6115012
2253145,Arctic King,MWEUK-08CRN1-BCL0,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-08CRN1-BCL0_11202015233522_2522431
2253148,Arctic King,MWEUK-10CRN1-BCL0,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-10CRN1-BCL0_11202015233559_2559567
2253151,Arctic King,MWEUK-12CRN1-BCL0,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-12CRN1-BCL0_11202015233638_2598444
2253153,Arctic King,MWEUK-15CRN1-BCK8,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,960,No,,,,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-15CRN1-BCK8_11202015233726_2646507
2253154,Arctic King,MWEUW2-10CRN1-BCJ6,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUW2-10CRN1-BCJ6_11202015233758_2678329
2282262,Arctic King,MWFUK-08CRN1-BCL0,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,12,25,625,No,,,,10/25/2016,10/25/2016,"United States, Canada",ES_1030337_MWFUK-08CRN1-BCL0_10262016055710_1430934
2327872,Arctic King,MWHUK-06CRN8-BCL1,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,,12.1,10,372,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-06CRN8-BCL1_10072018120603_70200496
2327873,Arctic King,MWHUK-08CRN8-BCL0,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,,12,10,500,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-08CRN8-BCL0_10072018120602_70200496
2327874,Arctic King,MWHUK-10CRN8-BCL0,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,,12,10,625,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-10CRN8-BCL0_10072018120601_70200496
2327875,Arctic King,MWHUK-12CRN8-BCL0,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,,12,10,750,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-12CRN8-BCL0_10072018120609_70200496
2327876,Arctic King,MWHUK-15CRN8-BCK8,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,,11.8,10,960,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-15CRN8-BCK8_10072018120622_70200496
2282263,Arctic King,WWK08CW71E,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,12,25,625,No,,,,10/25/2016,10/25/2016,United States,ES_1030337_WWK08CW71E_10262016055638_1398185
2327877,Arctic King,WWK08CW91E-B,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,,12,10,500,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_WWK08CW91E-B_10072018120608_70200496
2328038,Arctic King,WWK15CR91N,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,,11.8,10,960,No,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_WWK15CR91N_10072018120608_70200496
2271030,Arctic Wind,AW10005E,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,06/25/2016,06/27/2016,"United States, Canada",ES_1137591_AW10005E_06282016070830_7710538
