ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Technology,Enhanced Functionalities,Adders Used for Qualification,MIMO WiFi Streams,Configuration,DLNA Protocol Functionality,Auto-power Down Available,Deep Sleep State Available,Power Type,Single-room Configuration Test Results On Mode Power (Watts),Single-room Configuration Test Results Sleep Mode Power (Watts),Single-room Configuration Test Results Deep Sleep State Power (Watts),Single-room Configuration - Total Energy Consumption (kWh/yr),Multi-room STB Client Only Power (Watts),Multi-room Configuration Test Results On Mode Power (Watts),Multi-room Configuration Test Results Sleep Mode Power (Watts),Multi-room Configuration Test Results Deep Sleep State Power (Watts), Multi-room Configuration - Total Energy Consumption (kWh/yr),Total TEC Allowance,Date Available on Market,Date Qualified,Markets,CB Model Identifier
2286948,AT&T,DIRECTV,DIRECTV HD Receiver (Multi-room with Non DVR),H44-100,,Set-top Box (STB),Satellite,"Multi-stream,Multi-room","Multi-stream,Multi-room",,Multi-room,No,Yes,No,ac,,,,,,9.9,8.96,,80.74,89,03/16/2015,12/23/2016,United States,ES_25853_12232016000000_0008237
2286951,AT&T,DIRECTV,DIRECTV HD Receiver (Single-room with DVR),H44-100,,Set-top Box (STB),Satellite,"Multi-stream,Home Network Interface (HNI),Digital Video Recorder (DVR)","Multi-stream,Home Network Interface (HNI),Digital Video Recorder (DVR)",,Single-room,No,Yes,No,ac,11.4,10.3,,93.039,,,,,,118,03/16/2015,12/23/2016,United States,ES_25853_12232016000000_0008236
2287287,"LG Electronics, Inc.",LG,STB-5500-UA,STB-5500-UA,,Set-top Box (STB),Cable,"Home Network Interface (HNI),Multi-input Multi-output (MIMO) Wireless HNI,Ultra HD (4K) Resolution,High Efficiency Video Processing (HEVP or HEVP-TC)","Home Network Interface (HNI),Multi-input Multi-output (MIMO) Wireless HNI,Ultra HD (4K) Resolution,High Efficiency Video Processing (HEVP or HEVP-TC)",802.11ac Low Power,Single-room,No,No,No,ac,14.1,0.44,,73.8,,,,,,98,02/01/2017,12/23/2016,United States,ES_1118034_STB-5500-UA_12222016205531_2840082
2282586,Apple Inc.,Apple,Apple TV,MGY52,",A1625, Apple TV, MGY52, MR912,",Set-top Box (STB),Over-the-top (OTT) Internet Protocol (IP),Home Network Interface (HNI),Home Network Interface (HNI),,Single-room,No,Yes,No,ac,2.24,0.32,,6.66,,,,,,22,10/26/2015,10/07/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_1023756_MGY52_10272016053459_70091205
2284876,AT&T,DIRECTV,DIRECTV HD DVR (Multi Room),HR54-500,,Set-top Box (STB),Satellite,"Multi-stream,Multi-room,Digital Video Recorder (DVR)","Multi-stream,Multi-room,Digital Video Recorder (DVR)",,Multi-room,Yes- Server,Yes,No,ac,,,,,,13.657,12.637,,113.11,124,05/20/2015,11/28/2016,United States,ES_25853_11282016000000_0008226
2284877,AT&T,DIRECTV,DIRECTV HD DVR (Single Room),HR54-500,,Set-top Box (STB),Satellite,"Multi-stream,Home Network Interface (HNI),Digital Video Recorder (DVR)","Multi-stream,Home Network Interface (HNI),Digital Video Recorder (DVR)",,Single-room,Yes- Server,Yes,No,ac,13.37,12.557,,112.09,,,,,,118,05/20/2015,11/29/2016,United States,ES_25853_11282016000000_0008218
2286507,AT&T,DIRECTV,DIRECTV HD DVR (Multi-room),HR54-200,,Set-top Box (STB),Satellite,"Multi-stream,Multi-room,Digital Video Recorder (DVR)","Multi-stream,Multi-room,Digital Video Recorder (DVR)",,Multi-room,Yes- Server,Yes,No,ac,,,,,,12.2,11.1,,98.67,124,10/01/2015,12/19/2016,United States,ES_25853_12192016000000_0008240
2286508,AT&T,DIRECTV,DIRECTV HD DVR (Single-room),HR54-200,,Set-top Box (STB),Satellite,"Multi-stream,Home Network Interface (HNI),Digital Video Recorder (DVR)","Multi-stream,Home Network Interface (HNI),Digital Video Recorder (DVR)",,Single-room,Yes- Server,Yes,No,ac,12.2,11.1,,98.67,,,,,,118,09/01/2015,12/19/2016,United States,ES_25853_12192016000000_0008241
2286944,AT&T,DIRECTV,DIRECTV HD Receiver (DVR Multi-room),H44-100,,Set-top Box (STB),Satellite,"Multi-stream,Multi-room,Digital Video Recorder (DVR)","Multi-stream,Multi-room,Digital Video Recorder (DVR)",,Multi-room,No,Yes,No,ac,,,,,,11.55,10.35,,93.35,124,03/16/2015,12/23/2016,United States,ES_25853_12232016000000_0008232
2286946,AT&T,DIRECTV,DIRECTV HD Receiver (Single-room with Non DVR),H44-100,,Set-top Box (STB),Satellite,"Multi-stream,Home Network Interface (HNI)","Multi-stream,Home Network Interface (HNI)",,Single-room,No,Yes,No,ac,9.73,9.09,,80.8,,,,,,83,03/16/2015,12/23/2016,United States,ES_25853_12232016000000_0008238
2292505,AT&T,DIRECTV,DIRECTV HD DVR (Single Room),HR54-700,,Set-top Box (STB),Satellite,"Multi-stream,Home Network Interface (HNI),Multi-room,Digital Video Recorder (DVR)","Multi-stream,Home Network Interface (HNI),Multi-room,Digital Video Recorder (DVR)",,Single-room,Yes- Server,Yes,No,ac,11.8,11.1,,98.98,,,,,,118,08/13/2015,03/15/2017,United States,ES_25853_3152017000000_0008229
2292506,AT&T,DIRECTV,DIRECTV HD DVR (Multi Room),HR54-700,,Set-top Box (STB),Satellite,"Multi-stream,Home Network Interface (HNI),Multi-room,Digital Video Recorder (DVR)","Multi-stream,Home Network Interface (HNI),Multi-room,Digital Video Recorder (DVR)",,Multi-room,Yes- Server,Yes,No,ac,,,,,,12.0972,11.009,,99.65,124,08/13/2015,03/15/2017,United States,ES_25853_3152017000000_0008231
2298614,AT&T,DIRECTV,DIRECTV DVR Server,HS17-100,,Set-top Box (STB),Satellite,"Multi-stream,Multi-input Multi-output (MIMO) Wireless HNI,Multi-room,Transcoding Additional,Ultra HD (4K) Resolution,Access Point,Digital Video Recorder (DVR),Transcoding","Multi-stream,Multi-input Multi-output (MIMO) Wireless HNI,Multi-room,Transcoding Additional,Ultra HD (4K) Resolution,Access Point,Digital Video Recorder (DVR),Transcoding",802.11ac High Power,Multi-room,No,Yes,No,ac,,,,,,20.2,18.92,,168.9585012531,169,05/01/2017,06/27/2017,United States,ES_25853_6272017000000_0008918
2303551,Apple Inc.,Apple,Apple TV 4K,MP7P2,",A1842, Apple TV 4K, MQD22, MP7P2,",Set-top Box (STB),Over-the-top (OTT) Internet Protocol (IP),"Home Network Interface (HNI),Ultra HD (4K) Resolution,High Efficiency Video Processing (HEVP or HEVP-TC)","Home Network Interface (HNI),Ultra HD (4K) Resolution,High Efficiency Video Processing (HEVP or HEVP-TC)",,Single-room,No,Yes,No,ac,2.87,0.29,,7.72,,,,,,37,09/15/2017,09/13/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1023756_MP7P2_09132017125028_70154481
