ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Configuration,Additional Handset Telephones Supported,Frequency,Standby Power (W),Off Mode Power (W),External Proxy Capability,Physical Data Ports,Low Power Wireless Technologies,Gigabit Ethernet Ports,Fast Ethernet Ports,Energy Efficient Ethernet - Gigabit,Energy Efficient Ethernet - Fast,Display Resolution (pixels),Power Over Ethernet Class,External Power Supply,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2229342,Panasonic,Panasonic,KX-TGC222C,KX-TGC222C,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGC222C_12162014114740_0460612
2229385,Panasonic,Panasonic,KX-TGC223C,KX-TGC223C,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGC223C_12162014114831_0511305
2239042,Panasonic,Panasonic,KX-TGC253C,KX-TGC253C,,Analog,Cordless,,None,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,04/30/2015,04/29/2015,United States,ES_31845_KX-TGC253C_05112015052454_1894579
2229343,Panasonic,Panasonic,KX-TGD210,KX-TGD210,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD210_12162014114854_0534230
2229370,Panasonic,Panasonic,KX-TGD212,KX-TGD212,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD212_12162014114917_0557075
2229344,Panasonic,Panasonic,KX-TGD213,KX-TGD213,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD213_12162014114946_0586367
2229345,Panasonic,Panasonic,KX-TGD220,KX-TGD220,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD220_12162014115032_0632150
2229371,Panasonic,Panasonic,KX-TGD220C,KX-TGD220C,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGD220C_12162014115010_0610418
2229346,Panasonic,Panasonic,KX-TGD222,KX-TGD222,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD222_12162014115123_0683568
2229347,Panasonic,Panasonic,KX-TGD222C,KX-TGD222C,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGD222C_12162014115055_0655554
