ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Application,Screen Type,Size (in.),Screen Area (sq. in.),Resolution (pixels),Vertical Resolution,Automatic Brightness Control,Is Automatic Brightness Control Enabled by Default When Television is Shipped?,Measured On Mode Power at Ambient Light Level of 3 lux (watts),Measured On Mode Power at Ambient Light Level of 12 lux (watts),Measured On Mode Power at Ambient Light Level of 35 lux (watts),Measured On Mode Power at Ambient Light Level of 100 lux (watts),Power Consumption in On Mode (watts),Maximum On Mode Power for Certification (watts),Power Consumption in Standby Mode for Non-Network Connected Products (watts),Maximum Standby Mode Power for Certification (watts),Power Consumption in Standby Mode for Network Connected Products (watts),Power Consumption using High Dynamic Range (HDR) Upscaling Feature (watts),Ethernet Supported,Wireless Technologies Supported,Thin Client Capability,Technology Type,Features,Name(s) of Preset Picture Settings with the Energy Saving Feature Automatic Brightness Control Enabled by Default,Name(s) of Preset Picture Settings without Energy Saving Feature Automatic Brightness Control Enabled by Default,Names of Other Energy Saving Features Enabled by Default,Luminance in Brightest Selectable Picture Setting (cd/sq. meter),Luminance in ENERGY STAR Qualified Picture Setting (cd/sq. meter),Luminance at the 3 lux Illuminance Condition (cd/m^2),Luminance at the 12 lux Illuminance Condition (cd/m^2),Luminance at the 35 lux Illuminance Condition (cd/m^2),Luminance at the 100 lux Illuminance Condition (cd/m^2),Luminance with HDR Upscaling (cd/m^2),"If Download Acquisition Mode is Present, Energy Consumption in DAM (watt hours/day)",Reported Annual Energy Consumption (kWh),Date Available On Market,Date Certified,Markets,CB Model Identifier,ENERGY STAR Most Efficient 2019
2333687,ADIR International LLC,Pixel,LE32Z1,LE32Z1,",,All models are identical to each other except for model designation.",Television (TV),Consumer,LCD,31.51,424.14,1366x768,Other,No,N/A,,,,,27.53,27.98,0.5,0.3,,,None,None,No,Direct-lit LED,None,,,N/A,202,163,,,,,,,52.3,11/01/2018,11/08/2018,United States,ES_1127347.0_LE32Z1_11082018082422_5462758,No
2333921,ADIR International LLC,Pixel,LE4319N,LE4319N,,Television (TV),Consumer,LCD,42.52,790.06,1920x1080,Other,No,N/A,,,,,37.19,41.31,0.5,0.3,,,None,None,No,Direct-lit LED,None,,,N/A,200,142,,,,,,,69.9,06/12/2018,02/22/2019,United States,ES_1127347.0_LE4319N_02232019153818_6298581,No
2332501,Bluestem Brands Inc.,AVGO,ATSC-PM1215052,ATSC-PM1215052,",4NPHLQ,; ,ATSC-1215052,",Television (TV),Consumer,LCD,21.34,193.13,1080x1920,1080p,No,N/A,,,,,18,19.1,0.5,0.3,,,None,None,No,Direct-lit LED,None,,,N/A,205,136,,,,,,,34.6,10/25/2018,01/21/2019,United States,ES_1139258_ATSC-PM1215052_10252018101603_55810,No
2332500,Bluestem Brands Inc.,AVGO,ATSC-PM1320082,ATSC-PM1320082,",4NPHLP,; ,ATSC-1320082,",Television (TV),Consumer,LCD,31.47,423.87,1920x1080,1080p,No,N/A,,,,,26.7,28,0.5,0.2,,,None,None,No,Direct-lit LED,None,,,N/A,162,115,,,,,,,51.4,11/23/2018,01/02/2019,United States,ES_1139258_ATSC-PM1320082_12052018105841_503198,No
2326276,Bluestem Brands Inc.,AVGO,NN42Z,NN42Z,",LE-5019N,",Television (TV),Consumer,LCD,50,1047.01,3840x2160,2160p,No,N/A,,,,,44.87,74.55,0.5,0.26,,,None,None,No,Direct-lit LED,Additional Analog Tuner,,,N/A,275,185,,,,,,,83.7,10/01/2018,09/21/2018,"United States, Canada",ES_1139258_NN42Z_09182018171220_4544336,Yes
2334313,Bluestem Brands Inc.,AVGO,NN5LU,NN5LU,",ATSC-1550105,; ,ATSC-PM1550105,",Television (TV),Consumer,LCD,54.35,1264.86,3840x2160,2160p,No,N/A,,,,,79.5,84.3,0.5,0.24,,,None,None,No,Direct-lit LED,None,,,N/A,154,145,,,,,,,146.6,08/05/2017,08/14/2017,"United States, Canada",ES_1139258_NN5LU_03012019124638_1716882,No
2330759,Bluestem Brands Inc.,AVGO,PDVA-PM1320082,PDVA-PM1320082,",NN5LV,; ,PDVA-1320082,",Television (TV),Consumer,LCD,31.57,425.73,1920x1080,1080p,No,N/A,,,,,27.4,28,0.5,0.2,,,None,None,No,Direct-lit LED,None,,,N/A,150,127,,,,,,,51.4,08/01/2017,01/08/2017,United States,ES_1139258_PDVA-PM1320082_07312017191609_45587,No
2333955,Curtis International Ltd.,PROSCAN,PLED1960A-H,PLED1960A-H,,Television (TV),Consumer,LCD,18.5,146.35,1366x768,720p,No,N/A,,,,,16.9,17.3,0.5,0.3,,,None,None,No,Direct-lit LED,Electronic Program Guide,,,N/A,259,187,,,,,,,33,10/15/2015,02/26/2019,"United States, Canada",ES_1120898_PLED1960A-H_02252019131053_5426751,No
2325764,Curtis International Ltd.,RCA,RLDED5098-F-UHD,RLDED5098-F-UHD,,Television (TV),Consumer,LCD,49.5,1048.87,3840x2160,2160p,No,N/A,,,,,56.9,74.7,0.5,0.3,,,None,None,No,Direct-lit LED,None,,,N/A,283,197,,,,,,,105.1,07/30/2018,07/30/2018,"United States, Canada",ES_1120898_RLDED5098-F-UHD_07232018102741_2836877,No
2333956,Curtis International Ltd.,RCA,RLED1945A-C,RLED1945A-C,",RLED1945A-E,; ,RT1970,",Television (TV),Consumer,LCD,18.5,146.35,1366x768,720p,No,N/A,,,,,16.9,17.3,0.5,0.3,,,None,None,No,Direct-lit LED,Electronic Program Guide,,,N/A,259,187,,,,,,,33,10/15/2015,02/26/2019,"United States, Canada",ES_1120898_RLED1945A-C_02252019164143_3264581,No
