ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Power Conversion Mechanism,Minimum Configuration Tested Model Number,Active Output Power Rating Minimum Configuration (W),Apparent Output Power Rating Minimum Configuration (VA),Maximum Configuration Tested Model Number,Active Output Power Rating Maximum Configuration (W),Apparent Output Power Rating Maximum Configuration (VA),Topology (ac),Topology and Product Type Combined,Application,Rated Input Voltage (V rms),Rated Input Frequency (Hz),Rated Output Voltage (V),Rated Output Frequency (Hz),Rack Mountable,Rack Mount Height (U),Height (mm),Width (mm),Depth (mm),Total Number of Outlets,Number of Battery Backup and Surge Protected Outlets,Number of Surge Protected Only Outlets,Normal Mode(s) Input Dependency Characteristic (ac),Modular UPS,Number of Normal Modes,Default Normal Mode (ac),Test Input Voltage (V rms),Test Input Frequency (Hz),Test Output Voltage (V),Test Output Frequency (Hz),Total Input Power in W at 0% Load Min Config Lowest Dependency (ac),Total Input Power in W at 0% Load Min Config Highest Dependency (ac),Efficiency at 25% Load Min Config Lowest Dependency (ac),Efficiency at 25% Load Min Config Highest Dependency (ac),Efficiency at 50% Load Min Config Lowest Dependency (ac),Efficiency at 50% Load Min Config Highest Dependency (ac),Efficiency at 75% Load Min Config Lowest Dependency (ac),Efficiency at 75% Load Min Config Highest Dependency (ac),Efficiency at 100% Load Min Config Lowest Dependency (ac),Efficiency at 100% Load Min Config Highest Dependency (ac),Weighted Efficiency Calc Min Config Lowest Dependency,Weighted Efficiency Calc Min Config Highest Dependency,Total Input Power in W at 0% Load Minimum Configuration (dc),Efficiency at 30% Load Minimum Configuration (dc),Efficiency at 40% Load Minimum Configuration (dc),Efficiency at 50% Load Minimum Configuration (dc),Efficiency at 60% Load Minimum Configuration (dc),Efficiency at 70% Load Minimum Configuration (dc),Efficiency at 80% Load Minimum Configuration (dc),Minimum Configuration Input Power Factor Lowest-Input Dependency,Minimum Configuration Input Power Factor Highest-Input Dependency,Total Input Power in W at 0% Load Max Config Lowest Dependency (ac),Total Input Power in W at 0% Load Max Config Highest Dependency (ac),Efficiency at 25% Load Max Config Lowest Dependency (ac),Efficiency at 25% Load Max Config Highest Dependency (ac),Efficiency at 50% Load Max Config Lowest Dependency (ac),Efficiency at 50% Load Max Config Highest Dependency (ac),Efficiency at 75% Load Max Config Lowest Dependency (ac),Efficiency at 75% Load Max Config Highest Dependency (ac),Efficiency at 100% Load Max Config Lowest Dependency (ac),Efficiency at 100% Load Max Config Highest Dependency (ac),Weighted Efficiency Calc Max Config Lowest Dependency,Weighted Efficiency Calc Max Config Highest Dependency,Total Input Power in W at 0% Load Maximum Configuration  (dc),Efficiency at 30% Load Maximum Configuration (dc),Efficiency at 40% Load Maximum Configuration (dc),Efficiency at 50% Load Maximum Configuration (dc),Efficiency at 60% Load Maximum Configuration (dc),Efficiency at 70% Load Maximum Configuration (dc),Efficiency at 80% Load Maximum Configuration (dc),Maximum Configuration Input Power Factor Lowest-Input Dependency,Maximum Configuration Input Power Factor Highest-Input Dependency,Efficiency (%),Modular UPS Module Tested Model Number,Energy Storage Mechanism,Energy Storage System Technology,Energy Storage System Configuration,Energy Storage System Removable to Another Room,Energy Storage System Runtime at 100% Load (min.),Energy Storage System Runtime at 50% Load (min.),Energy Storage System Warranty (yrs),Energy Storage System Information URL,Battery Recycling URL,Network Connections Available,Communication Protocols,Communication Protocol Other,Manufacturer Take Back Program,Manufacturer Take Back Program URL,Model Web Page URL,Test Method Guidelines,Date Available on Market,Date Certified,Markets,CB Model Identifier
2333800,ADI,W BOX,0E-RCKMT1000,0E-RCKMT1000,,Ac-output UPS,Static,OR1000PFCRT2U,700,1000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,Yes,2,433,88,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,1.1,,98.4,,98.7,,98.8,,98.7,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,6,17,1,N/A,,"Serial Port,USB Port",Other,"HID,
CyberPower serial Protocol (v2)",Yes,,https://www.wboxtech.com/north-america/product/813/battery-back-up-1000va700w-line-interactive-ups/,N/A,12/31/2018,01/13/2019,"United States, Canada",ES_1130837_0E-RCKMT1000_02212019031114_8674363
2333801,ADI,W BOX,0E-RCKMT1500,0E-RCKMT1500,,Ac-output UPS,Static,OR1500PFCRT2U,1050,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,Yes,2,433,88,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.3,,98.3,,98.9,,98.9,,98.8,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,5,16,1,N/A,,"Serial Port,USB Port",Other,"HID,
CyberPower serial Protocol (v2)",Yes,,https://www.wboxtech.com/north-america/product/814/battery-back-up-1500va1050w-line-interactive-ups/,N/A,12/31/2018,01/13/2019,"United States, Canada",ES_1130837_0E-RCKMT1500_02212019031152_8712533
2333802,ADI,W BOX,0E-350V6,0E-350V6,,Ac-output UPS,Static,CP350SLG,255,350,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,81,180,109,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.8,,95.8,,97.9,,98.5,,98.7,,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,8,3,N/A,,None,None,,Yes,,https://www.wboxtech.com/north-america/product/239/battery-backup-standby-ups350va255w-standby-ups/,N/A,02/28/2019,01/13/2019,"United States, Canada",ES_1130837_0E-350V6_02212019031242_8762570
2333803,ADI,W BOX,0E-825V12VRD,0E-825V12VRD,,Ac-output UPS,Static,LE1000DG,480,825,,,,Line Interactive,ac Line Interactive (VI),Consumer,120-120,60-60,120-120,60-60,No,,180,311,90,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4.4,,97.1,,98.3,,98.6,,98.8,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,10,1,N/A,,USB Port,Other,HID,Yes,,https://www.wboxtech.com/north-america/product/241/battery-backup-standby-ups825va480w-line-interactive-ups/,N/A,02/28/2019,01/13/2019,"United States, Canada",ES_1130837_0E-825V12VRD_02212019031302_8782645
2333804,ADI,W BOX,0E-625V8LCD,0E-625V8LCD,,Ac-output UPS,Static,EC650LCD,390,625,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,78,269,149,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.7,,97.4,,98.6,,98.8,,98.9,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,8,3,N/A,,USB Port,Other,HID,Yes,,https://www.wboxtech.com/north-america/product/240/battery-backup-standby-ups625va390w-standby-ups/,N/A,02/28/2019,01/13/2019,"United States, Canada",ES_1130837_0E-625V8LCD_02212019031330_8810382
2330333,Bxterra Power Technology,bXterra,BG350,BG350,,Ac-output UPS,Static,BG350,255,350,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,109,81,198,6,3,3,Voltage and Frequency Dependent,Yes,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.59,,96,,98,,98.6,,98.8,,98,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,98,BG350,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,6,3,N/A,,None,None,,Yes,,https://www.bxterra.com/,N/A,11/30/2018,11/20/2018,"United States, Canada",ES_1141975_BG350_11282018161136_3466613
2332514,Chicago Digital Power Inc,CDP,UPO33-10 HFD AX,UPO33-10 HFD AX,",UPO33-10 HF AX,; ,UPO33-10 HFL AX,; ,UPO33-10 HFLD AX,",Ac-output UPS,Static,YDC3310S,10000,10000,,,,Multi-Mode Line Interactive,ac - Other,"Commercial,Consumer",208-220,50-60,208-220,50-60,No,,868,250,900,,,,"Voltage and Frequency Dependent,Voltage and Frequency Independent",No,Multiple-normal-mode,Voltage and Frequency Dependent,120,60,120,60,136.34,138,92.1,94.6,93,96.6,92.7,97.1,91.8,97.3,92.5,97,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,93.6,N/A,Battery,Vented Lead-acid Battery,Integral,N/A,N/A,N/A,5,N/A,,None,None,,No,,www.kstar.com.cn,N/A,11/14/2018,01/07/2019,"United States, Canada",ES_1142615_UPO33-10 HFD AX_12202018095742_8772394
2332516,Chicago Digital Power Inc,CDP,UPO33-20 HFD AX,UPO33-20 HFD AX,",UPO33-20 HF AX,; ,UPO33-20 HFL AX,; ,UPO33-20 HFLD AX,",Ac-output UPS,Static,YDC3320S,20000,20000,,,,Multi-Mode Line Interactive,ac - Other,"Commercial,Consumer",208-220,50-60,208-220,50-60,No,,868,250,900,,,,"Voltage and Frequency Dependent,Voltage and Frequency Independent",No,Multiple-normal-mode,Voltage and Frequency Dependent,120,60,120,60,150,121,93.7,95.9,93.7,97.3,92.9,97.7,91.8,97.8,93.5,97.1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,94.4,N/A,Battery,Vented Lead-acid Battery,Integral,N/A,N/A,N/A,5,N/A,,None,None,,No,,www.kstar.com.cn,N/A,11/14/2018,01/07/2019,"United States, Canada",ES_1142615_UPO33-20 HFD AX_12202018101027_3836938
2332518,Chicago Digital Power Inc,CDP,UPO33-15 HFD AX,UPO33-15 HFD AX,",UPO33-15 HF AX,; ,UPO33-15 HFL AX,; ,UPO33-15 HFLD AX,",Ac-output UPS,Static,YDC3315S,15000,15000,,,,Multi-Mode Line Interactive,ac - Other,"Commercial,Consumer",208-220,50-60,208-220,50-60,No,,868,250,900,,,,"Voltage and Frequency Dependent,Voltage and Frequency Independent",No,Multiple-normal-mode,Voltage and Frequency Dependent,120,60,120,60,129.96,121,93.5,95.9,93.6,97.3,92.9,97.7,91.8,97.8,93.4,97.1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,94.3,N/A,Battery,Vented Lead-acid Battery,Integral,N/A,N/A,N/A,5,N/A,,None,None,,No,,www.kstar.com.cn,N/A,11/14/2018,01/07/2019,"United States, Canada",ES_1142615_UPO33-15 HFD AX_12202018100530_914575
2330843,"CyberPower Systems, Inc.",amazonbasics,ABST800,ABST800,,Ac-output UPS,Static,ABST800,450,800,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,80,178,310,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.9,,97.5,,98.5,,98.7,,98.8,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,12,1,N/A,,USB Port,Other,HID,No,,https://www.amazon.com/AmazonBasics-Standby-UPS-800VA-Outlets/dp/B073Q3BSPG,N/A,12/01/2018,12/05/2018,"United States, Canada",ES_1095904_ABST800_10032017025709_9429383
