ENERGY STAR Unique ID,ENERGY STAR Partner,Model Name,Model Number or Rebuilt Model Number,Additional Model Information,Product Type,Original Equipment Manufacturer (OEM),OEM Model Name,OEM Model Number,Door Type,Conditions for Expected Use,Vending Capacity (C),Energy Use (kWh/day),Refrigerated Volume (cu. ft.),Energy Saving Component Type,Energy Saving Kit or Component OEM,Energy Saving Kit or Component Model Number,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2203621,"Automated Merchandising Systems, Inc.",AMS LB9,AMS LB9,",LB9,Identical to AMS LB9.; ,LC9,Same as AMS LB9 except there is no control to lock out customers if the internal temperature rises enough to render food potentially hazardous.",New,,,,Glass Front,Indoor Only,446,3.79,31.42,NA,NA NA,NA NA,04/06/2013,02/03/2014,United States,ES_1110953_AMS LB9_01302014194201_6303827
2203622,"Automated Merchandising Systems, Inc.",LB5,LB5,",LC5,Same as LB5 except there is no control to lock out customers if the internal temperature rises enough to render food potentially hazardous.",New,,,,Glass Front,Indoor Only,352,3.73,27.18,NA,NA NA,NA NA,04/15/2013,02/03/2014,United States,ES_1110953_LB5_01302014195044_6512109
2203718,"Automated Merchandising Systems, Inc.",LB9 ADA,LB9 ADA,",LC9 ADA,Same as LB9 ADA except there is no control to lock out customers if the internal temperature rises enough to render food potentially hazardous.",New,,,,Glass Front,Indoor Only,398,3.52,31.84,NA,NA NA,NA NA,04/15/2013,02/06/2014,United States,ES_1110953_LB9 ADA_02032014141322_7359735
2280290,Crane Merchandising Systems,DN3800-4,DN3800-4,,New,,,,Glass Front,Indoor Only,315,3.77,27.98,NA,,,03/03/2015,09/26/2016,"United States, Canada",ES_1020551_DN3800-4_09282016174727_4847566
2280286,Crane Merchandising Systems,DN3800-6,DN3800-6,,New,,,,Glass Front,Indoor Only,315,3.9,27.98,NA,,,03/03/2015,09/26/2016,"United States, Canada",ES_1020551_DN3800-6_09282016174709_4829656
2280292,Crane Merchandising Systems,DN5800-4,DN5800-4,,New,,,,Glass Front,Indoor Only,405,3.95,35.84,NA,,,03/03/2015,09/26/2016,"United States, Canada",ES_1020551_DN5800-4_09282016174646_4806415
2236038,Crane Merchandising Systems,DN 5800-4C,DN 5800-4C,",DN 5800-4,; DN 5800-4C,DN 5800-4C,",New,,,,Glass Front,Indoor/Outdoor,405,4.18,36,NA,,,03/03/2015,04/07/2015,"United States, Canada",ES_1020551_DN 5800-4C_04082015162203_0123100
2299864,Crane Merchandising Systems,DN5800-4HC,DN5800-4HC,,New,,,,Glass Front,Indoor Only,405,4.14,35.84,N/A,,,07/01/2017,07/13/2017,United States,ES_1020551_DN5800-4HC_07142017171245_2365544
2280293,Crane Merchandising Systems,DN5800-6,DN5800-6,,New,,,,Glass Front,Indoor Only,405,4.21,35.84,NA,,,03/03/2015,09/26/2016,"United States, Canada",ES_1020551_DN5800-6_09282016174559_4759286
2123300,"Royal Vendors, Inc.",GIII 550 CO2,RVCC2-550-*,,New,,,,Closed Front,Indoor/Outdoor,550,3.24,19.494,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCC2-550-*08302012114313_2556811
2123298,"Royal Vendors, Inc.",GIII 660 CO2,RVCC2-660-*,,New,,,,Closed Front,Indoor/Outdoor,660,3.56,23.904,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCC2-660-*08302012114313_2556811
2123296,"Royal Vendors, Inc.",GIII 804 CO2,RVCC2-804-*,,New,,,,Closed Front,Indoor/Outdoor,804,3.24,27.322,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCC2-804-*08302012114313_2556811
2123294,"Royal Vendors, Inc.",GIII 550,RVCC-550-*,,New,,,,Closed Front,Indoor/Outdoor,550,2.83,19.494,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCC-550-*08302012114313_2556811
2174920,"Royal Vendors, Inc.",GIII-550,RVCC-550-*-ES,,Rebuilt,,,,Closed Front,Indoor/Outdoor,550,3.87,19.494,Various Components,Royal Vendors Inc.,359100.0,05/01/2012,03/01/2013,"United States, Canada",ES_1020282_RVCC-550-*-ES03062013023624_7000080
2174919,"Royal Vendors, Inc.",GIII-550,RVCC-550-*-EV,,Rebuilt,,,,Closed Front,Indoor/Outdoor,550,3.03,19.494,Various Components,Royal Vendors Inc.,359120.0,05/01/2012,03/01/2013,"United States, Canada",ES_1020282_RVCC-550-*-EV03062013023624_7000080
2123292,"Royal Vendors, Inc.",GIII 660,RVCC-660-*,,New,,,,Closed Front,Indoor/Outdoor,660,3.03,23.904,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCC-660-*08302012114313_2556811
2174917,"Royal Vendors, Inc.",GIII-660,RVCC-660-*-ES,,Rebuilt,,,,Closed Front,Indoor/Outdoor,660,4.09,23.904,Various Components,Royal Vendors Inc.,358100.0,05/01/2012,03/01/2013,"United States, Canada",ES_1020282_RVCC-660-*-ES03062013023624_7000080
2174918,"Royal Vendors, Inc.",GIII-660,RVCC-660-*-EV2,,Rebuilt,,,,Closed Front,Indoor/Outdoor,660,3.09,23.904,Various Components,Royal Vendors Inc.,358135.0,05/01/2012,03/01/2013,"United States, Canada",ES_1020282_RVCC-660-*-EV203062013023624_7000080
2123290,"Royal Vendors, Inc.",GIII 804,RVCC-804-*,,New,,,,Closed Front,Indoor/Outdoor,804,2.93,27.322,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCC-804-*08302012114313_2556811
2174915,"Royal Vendors, Inc.",GIII-804,RVCC-804-*-ES,,Rebuilt,,,,Closed Front,Indoor/Outdoor,804,4.18,27.322,Various Components,Royal Vendors Inc.,357100.0,05/01/2012,03/01/2013,"United States, Canada",ES_1020282_RVCC-804-*-ES03062013023624_7000080
2174916,"Royal Vendors, Inc.",GIII-804,RVCC-804-*-EV2,,Rebuilt,,,,Closed Front,Indoor/Outdoor,804,2.92,27.322,Various Components,Royal Vendors Inc.,357135.0,05/01/2012,03/01/2013,"United States, Canada",ES_1020282_RVCC-804-*-EV203062013023624_7000080
2123311,"Royal Vendors, Inc.",MIV 542,RVCDE-542-*,,New,,,,Closed Front,Indoor/Outdoor,542,3.3,20.92,None,,,09/03/2012,05/23/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCDE-542-*08302012114313_2556811
2123308,"Royal Vendors, Inc.",MIV 650,RVCDE-650-*,,New,,,,Closed Front,Indoor/Outdoor,650,3.24,25.803,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCDE-650-*08302012114313_2556811
2123305,"Royal Vendors, Inc.",MIV 768,RVCDE-768-*,,New,,,,Closed Front,Indoor/Outdoor,768,3.29,29.823,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCDE-768-*08302012114313_2556811
2123301,"Royal Vendors, Inc.",GIII 550 CO2,RVCV2-550-*,,New,,,,Closed Front,Indoor/Outdoor,550,3.24,19.494,None,,,09/03/2012,09/24/2012,"United States, Switzerland, Taiwan, Japan, Canada",ES_1020282_RVCV2-550-*08302012114313_2556811
