ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Water Source,Water Storage,Refrigerated Compartment,Energy Use (On Mode With No Water Draw) (kWh/day),Date Available On Market,Date Qualified,Markets,CB Model Identifier
2324414,Global Trade Works LLC,Waterways,AWVW110,AWVW110,,Cook and Cold,Conversion Type,Storage,No,0.13,08/20/2018,08/16/2018,"United States, Canada",ES_1133292_AWVW110_08132018112632_70193533
2324413,Global Trade Works LLC,Waterways,AWVW210,AWVW210,,Hot and Cold,Conversion Type,Storage,No,0.78,08/20/2018,08/16/2018,"United States, Canada",ES_1133292_AWVW210_08132018112632_70193533
2323216,Greenway Home Products Inc.,Glacier Bay,Water Cooler,VWD1066BLS-1HDC (sku # 1000 756 142),",,Glacier Bay sku # 1000 756 142",Hot and Cold,Bottled - Bottom Load,On Demand,No,0.16,07/15/2018,07/24/2018,Canada,ES_1004898_VWD1066BLS-1HDC (sku # 1000 756 142)_07242018050259_70192685
2320305,Greenway Home Products Inc.,Glacier Bay,Water Cooler,VWD1066BLS-1-HDU (sku # 1000 050 439),,Hot and Cold,Bottled - Bottom Load,On Demand,No,0.16,01/31/2018,03/15/2018,United States,ES_1004898_VWD1066BLS-1-HDU (sku # 1000 050 439)_05222018040915_70177256
2323214,Greenway Home Products Inc.,Glacier Bay,Water Cooler,VWD2266W-2HDC (sku # 1000 746 950),",,Glacier Bay sku # 1000 746 950",Hot and Cold,Bottled - Top Load,Storage,No,0.71,07/15/2018,07/24/2018,Canada,ES_1004898_VWD2266W-2HDC (sku # 1000 746 950)_07242018050259_70192685
2320304,Greenway Home Products Inc.,Glacier Bay,Water Cooler,VWD2266W-2-HDU (sku # 1000 050 440),,Hot and Cold,Bottled - Top Load,Storage,No,0.71,01/31/2018,03/15/2018,United States,ES_1004898_VWD2266W-2-HDU (sku # 1000 050 440)_05222018040915_70177256
2323215,Greenway Home Products Inc.,Glacier Bay,Water Cooler,VWD366BLP-HDC (sku # 1000 756 141),",,Glacier Bay sku # 1000 756 141",Hot and Cold,Bottled - Top Load,Storage,No,0.7,07/15/2018,07/24/2018,Canada,ES_1004898_VWD366BLP-HDC (sku # 1000 756 141)_07242018050259_70192685
2311182,Greenway Home Products Inc.,Glacier Bay,Water Cooler,VWD5446BLS-2-HDU (sku # 1001 017 471),,Hot and Cold,Bottled - Top Load,On Demand,No,0.17,01/31/2018,03/02/2018,United States,ES_1004898_VWD5446BLS-2-HDU_03022018071440_70123654
2223891,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD1006BLP,,Hot and Cold,Bottled - Bottom Load,On Demand,No,0.17,02/01/2014,10/22/2014,"United States, Canada",ES_1004898_VWD1006BLP_10292014120911_2772726
2233247,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD1066BLS,,Hot and Cold,Bottled - Bottom Load,On Demand,No,0.17,01/30/2015,02/12/2015,"United States, Canada",ES_1004898_VWD1066BLS_02182015113842_70023609
2316168,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD1076BLST,,Hot and Cold,Bottled - Bottom Load,On Demand,No,0.15,01/02/2018,03/15/2018,"United States, Canada",ES_1004898_VWD1076BLST_03292018114639_70177256
2316166,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD1077BLP,,Hot and Cold,Bottled - Top Load,Storage,No,0.67,01/02/2018,03/15/2018,"United States, Canada",ES_1004898_VWD1077BLP_03292018114639_70177256
2223888,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD2236W,,Cook and Cold,Bottled - Top Load,Storage,No,0.12,02/01/2014,10/22/2014,"United States, Canada",ES_1004898_VWD2236W_10292014120911_2772726
2223893,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD2265W,,Cook and Cold,Bottled - Top Load,Storage,No,0.11,10/01/2014,10/22/2014,"United States, Canada",ES_1004898_VWD2265W_10292014120911_2772726
2316167,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD266BLP,,Cook and Cold,Bottled - Top Load,Storage,No,0.13,08/30/2017,03/15/2018,"United States, Canada",ES_1004898_VWD266BLP_03292018114639_70177256
2316173,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD365W,,Hot and Cold,Bottled - Top Load,Storage,No,0.74,01/02/2018,03/15/2018,"United States, Canada",ES_1004898_VWD365W_03292018114639_70177256
2316169,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD365W-K,,Hot and Cold,Bottled - Top Load,On Demand,No,0.15,01/02/2018,03/15/2018,"United States, Canada",ES_1004898_VWD365W-K_03292018114639_70177256
2316171,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD366BLP,,Hot and Cold,Bottled - Top Load,Storage,No,0.7,01/02/2017,03/15/2018,"United States, Canada",ES_1004898_VWD366BLP_03292018114639_70177256
2316170,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD366BLS,,Hot and Cold,Bottled - Top Load,Storage,No,0.7,01/02/2018,03/15/2018,"United States, Canada",ES_1004898_VWD366BLS_03292018114639_70177256
2316172,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD366BLS-K,,Hot and Cold,Bottled - Top Load,On Demand,No,0.15,01/02/2018,03/15/2018,"United States, Canada",ES_1004898_VWD366BLS-K_03292018114639_70177256
2223892,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD5446W,,Hot and Cold,Bottled - Top Load,On Demand,No,0.17,10/01/2014,10/22/2014,"United States, Canada",ES_1004898_VWD5446W_10292014120911_2772726
2316165,Greenway Home Products Inc.,Vitapur,Water Cooler,VWD9506BLS,,Hot and Cold,Tap Water Source,On Demand,No,0.17,10/31/2017,03/15/2018,"United States, Canada",ES_1004898_VWD9506BLS_03292018114639_70177256
2223885,Greenway Home Products Inc.,Vitapur & Glacier Bay,Water Cooler,VWD5446BLS-1-2,,Hot and Cold,Bottled - Top Load,On Demand,No,0.17,02/01/2014,10/22/2014,"United States, Canada",ES_1004898_VWD5446BLS-1-2_10292014120911_2772726
2206115,Nestle Waters North America,NESTLE,Water_Cooler,SORTB210ESNS,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SORTB210ESNS_03142014200754_7674204
2206121,Nestle Waters North America,NESTLE,Water_Cooler,SORTP210ESNS,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SORTP210ESNS_03142014203429_9269296
2206116,Nestle Waters North America,NESTLE,Water_Cooler,SORTW210ESNS,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SORTW210ESNS_03142014200737_7657188
2206117,Nestle Waters North America,NESTLE,Water_Cooler,SOSB210ESBR,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SOSB210ESBR_03142014200924_7764263
2206118,Nestle Waters North America,NESTLE,Water_Cooler,SOSB210ESNS,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SOSB210ESNS_03142014200933_7773638
2206119,Nestle Waters North America,NESTLE,Water_Cooler,SOSW210ESBR,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SOSW210ESBR_03142014200854_7734880
2206120,Nestle Waters North America,NESTLE,Water_Cooler,SOSW210ESNS,,Hot and Cold,Bottled - Top Load,Storage,No,0.86,03/30/2014,03/14/2014,United States,ES_1107848_SOSW210ESNS_03142014200905_7745656
2291148,"Newair Asia Co., Ltd",Newair,WAT30B,WAT30B,",WAT20W,",Hot and Cold,Bottled - Top Load,Storage,No,0.52,02/17/2017,02/17/2017,"United States, Canada",ES_1127656_WAT30B_02172017143402_2329522
