ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Indoor/Outdoor,Shipped with ENERGY STAR Lamp(s),ENERGY STAR Lamp ESUID,Alternate ENERGY STAR Lamps ESUIDs,ENERGY STAR Lamp Partner,Lamp Model Number,Light Source Technology,Total Light Output (lumens),Total Input Power (watts),Lighting Efficiency – Measured outside the Fixture (lm/W),Lighting Efficiency – Measured at the Source (lm/W),Power Factor,Light Color Appearance (CCT),Light Color Quality (CRI),Light Source Rated Life (hrs),Light Sources Per Light Kit,Light Source Connection/Base Type,Special Features, Warranty (yrs),Connected Functionality,Connects Using,Notes,Date Available On Market,Date Certified,Markets,CB Model Identifier
2256878,Generation Brands,Sea Gull Lighting,16021BLE-XX,16021BLE-XX,,Indoor,No,,,,,Fluorescent,2500,36,,69.44,0.56,2700K,81,10000,2,Other,Non-Dimmable,,No,,XX represents different color,01/09/2016,01/13/2016,United States,ES_1113136_16021BLE-XX_01132016114800_4238702
2262967,The Home Depot,Hampton Bay,Energy Star Light Kit,LK-52PN,,Indoor,No,,,,,Fluorescent,1800,27,,66.67,0.59,2700K,82,10000,2,Other,Non-Dimmable,,No,,,03/05/2016,03/10/2016,"United States, Canada",ES_31912_LK-52PN_03232016113600_1523862
2269350,Generation Brands,Monte Carlo,MC231,MC231,,Indoor,No,,,,,Fluorescent,2700,39,,69.23,0.61,2700K,82,10000,3,Other,Non-Dimmable,,No,,,05/01/2015,06/08/2016,"United States, Canada",ES_1113136_MC231_06032016162118_4004327
2269349,Generation Brands,Monte Carlo,MC230,MC230,,Indoor,No,,,,,Fluorescent,1800,26,,69.23,0.61,2700K,82,10000,2,Other,Non-Dimmable,,No,,,05/01/2015,06/08/2016,"United States, Canada",ES_1113136_MC230_06022016113418_5307886
2278647,The Home Depot,Hampton Bay,Energy Star Light Kit,72199,",,406358; Energy Star Light Kit,71399,1000756342",Indoor,No,,,,,Fluorescent,1800,27,,66.67,0.59,2700K,82,10000,2,Other,Non-Dimmable,,No,,,08/01/2016,09/02/2016,"United States, Canada",ES_31912_72199_09092016142325_7709313
2279887,The Home Depot,Hampton Bay,AM215-***,AM215-***,,Indoor,No,,,,,LED,1350,18,,75,0.99,3000K,84,50000,1,Other,Continuously Dimmable,,No,,XXX is for finish,01/01/2016,09/22/2016,"United States, Canada",ES_31912_AM215-XXX_06132014122957_2597652
2288032,Westinghouse Lighting Corporation,Westinghouse,Ceiling Fan LED Light Kit,77853,",77844,Finish: Polished Brass; ,77846,Finish: Oil Rubbed Bronze; ,77851,Finish: Antique Brass; ,77852,Finish: With 3 metal fitters in Brushed Nickel, Oil Rubbed Bronze and White finish; ,77853,Finish: White",Indoor,Yes,2286677,,Westinghouse Lighting Corporation,43127,LED,800,9,,88.89,1,3000K,83,15000,1,E26,Damp Location Rated,5,No,,,12/15/2016,01/05/2017,"United States, Canada",ES_1018392_77853_01052017145302_3247889
2289458,Royal Pacific Ltd.,Royal Pacific (RP),Fan Light,1RP19LED-**,",,Listed model CCT 3000K",Indoor/Outdoor,No,,,,,LED,1571,17,,92.41,1,2700K,83,35000,1,LED Retrofit Kit,Continuously Dimmable,,No,,"""**"" could be BN, ORB, WH, BK, BA or OB denotes painting color Brush Nickel, Oil Rubbed Bronze, White, Black, Blance or Bronze.",01/11/2017,01/18/2017,"United States, Canada",ES_1023643_1RP19LED-**_01182017144434_4328912
2289457,Royal Pacific Ltd.,Royal Pacific (RP),Non-Directional Fan Light,1RP18LED-**,",,Listed model CCT 3000K",Indoor/Outdoor,No,,,,,LED,1522,17,,89.53,1,2700K,82,35000,1,LED Retrofit Kit,Continuously Dimmable,,No,,"“**” could be BN, ORB, WH, BK, BA or OB denotes painting color Brush Nickel, Oil Rubbed Bronze, White, Black, Blance or Bronze.",01/11/2017,01/18/2017,"United States, Canada",ES_1023643_1RP18LED-**_01182017144404_2138994
2289462,Royal Pacific Ltd.,Royal Pacific (RP),Non-Directional Fan Light,1RP86LED-**,",,Listed Model CCT 3000K",Indoor/Outdoor,No,,,,,LED,1380,17,,81.18,1,2700K,82,35000,1,LED Retrofit Kit,Continuously Dimmable,,No,,"“**” could be BN, ORB, WH, BK, BA or OB denotes painting color Brush Nickel, Oil Rubbed Bronze, White, Black, Blance or Bronze.",01/11/2017,01/18/2017,"United States, Canada",ES_1023643_1RP86LED-**_01182017144635_4895914
